#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,田代直明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ashoro (AS-DB2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,足寄(九州大学北海道演習林）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,足寄美盛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,AS-DB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,入力方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,1.調査記録シートに記入してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,2.黄色のセルは必ず入力してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,3.死亡した場合は周囲長の欄にdと入力してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,4.死亡要因（幹折れ、根返り、立ち枯れなど）をできるだけ記入してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,5.調査日を入力する場合は、yyyymmdd形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20080712,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090521,調査記録追加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20110131,2010年データチェック（鈴木）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag=C536は測定エラーの可能性が高い（ノリウツギなのにgbh=119cm）-->とりあえずndとした,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20121015,2011年度データチェック（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag=C87　gbh05は測定エラーの可能性が高い-->とりあえずndとした,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_idとindv_idのコラムを追加（セル内は、2001_tag_no、および2001_indv_noとした）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171101,"公開データのためのエラーチェック,サイトに問い合わせ（日野貴文）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C117 gbh16, 基準値より小さい　gbh測定間違いの可能性あり→ツル込みとツル抜きのデータが混在しているので、gbh13からツル抜きに統一し、gbh13に「vn」を入力。ツル込みのデータは備考欄に記載。個体のバイオマス推定の際にツル抜きのgbhの方が精度が高いため。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C139 gbh15, 基準値より小さい　gbh測定間違いの可能性あり→樹皮欠損のためgbhの前にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C168 gbh16, 基準値より小さい→測定位置変更のためcdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C287 gbh11に枯死, 枯死の次の調査以降のgbhがnaになっていない→倒木に巻き込まれたあと生存していたので、gbh11にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C502 gbh14に枯死, 枯死の次の調査以降のgbhがnaになっていない→次年は生存なのでgbh14にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C87 gbh05=nd で gbh10=25.8, 前年が欠測(nd)扱いになっているが、当年gbhが22.0cmより小さい新規加入個体のため前年は測定ミスではない→gbh05にnaを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180105,2017年度データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C373 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→生存はしているのでndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C373 gbh15に枯死, 枯死の次の調査以降のgbhがnaになっていない→その後生存が確認されたのでndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note05","note10","note11","note12","note13","note14","note15","note16","note17","s_data05","s_data10","s_data11","s_data12","s_data13","s_data14","s_data15","s_data16","s_data17","新タグ","stem_id","indv_id","現行タグ","旧丸タグ.2014.9取外.","dl05","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec05","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error05","error10","error11","error12","error13","error14","error15","error16","error17"
0,20,"C14","C14",2.7,1.7,"ミズナラ",68.9,69.8,70,70.5,70.4,70.8,71.6,71.6,71.8,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C14","2011_C14","C14",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,"C15","C15",5.4,2.8,"ミズナラ",100.1,101.4,101.6,101.7,101.8,102,102.5,102.5,102.3,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C15","2011_C15","C15",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,"C16","C16",9.1,0.8,"ミズナラ",108.8,109.7,109.9,109.9,109.5,109.7,110.4,110.5,110.5,"胸高上で二股",NA,NA,"又の一つが枯","又の一つが枯","枯幹込",NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C16","2011_C16","C16",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,"C17","C17",1.9,0.8,"ミズナラ",113,114.6,115.5,115.5,115.7,116.2,117.5,118,117.8,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C17","2011_C17","C17",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,"C18","C18",8.2,1.6,"ミズナラ",48,48.3,47.7,47.6,47.6,47.5,47.9,47.7,47.6,"先枯",NA,NA,NA,"先枯・先折",NA,"幹折","先枯","半枯","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C18","2011_C18","C18",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,"C19","C19",8,3.2,"ミズナラ",111.5,113,113.4,113.7,113.9,114.3,116,115.7,115.8,NA,NA,NA,"枝枯上がり","枝枯上がり",NA,"健全","タグ付替","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","C622","2011_C19","2011_C19","C622",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,"C20","C20",6.9,9.8,"ミズナラ",91,93.3,94.4,94.9,95.5,96.4,98.5,98.5,99.2,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C20","2011_C20","C20",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,"C21","C21",1.3,7.8,"ミズナラ",112.7,115.5,115.9,116.6,117.3,118.3,119.9,121,121.6,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C21","2011_C21","C21",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,"C22","C22",1.3,1.7,"ミズナラ",96.2,98,98,98.1,98.6,99.4,100.9,101.1,101.3,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C22","2011_C22","C22",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,"C23","C23",5.1,6.4,"ミズナラ",58.7,57.5,NA,NA,NA,NA,NA,NA,NA,"先枯","皮がなくなっている","枯",NA,NA,NA,"倒","","","20051003","20101129","20111107",NA,NA,NA,NA,NA,NA,"","2011_C23","2011_C23","C23",21,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,"C24","C24",6.5,5.9,"ミズナラ",90.5,93.1,94.2,95,95.7,96.9,98.6,99.5,100,"先枯",NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C24","2011_C24","C24",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,"C25","C25",8.3,3.2,"ミズナラ",92.7,94.2,94.9,95.3,95.4,96.3,97,97.6,97.8,NA,NA,"ラベル付替",NA,NA,NA,NA,"タグ付替","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","C541","2011_C25","2011_C25","C541",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,"C26","C26",9.2,2.9,"ミズナラ",28.2,28.5,28.7,28.8,28.8,28.9,29.2,29.3,29.2,"先枯",NA,NA,"先枯","先枯","先枯",NA,"先枯・タグ付替","先枯","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","C616","2011_C26","2011_C26","C616",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C27","C27",6,3.1,"ミズナラ",85.6,86.6,87.4,87.2,87.2,87.4,87.9,88,88.4,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C27","2011_C27","C27",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C28","C28",5.2,4.2,"ミズナラ",100.1,101.9,102.8,102.9,103.1,103.8,105,105.8,106.2,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C28","2011_C28","C28",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C29","C29",1.3,2.6,"ミズナラ",76.7,77.2,77.3,77.1,NA,NA,NA,NA,NA,NA,"タグ落ち","ラベル付替","先枯","77.3枯",NA,NA,"","","20051003","20101129","20111107","20121122","20131113",NA,NA,NA,NA,"C542","2011_C29","2011_C29","C542",18,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C30","C30",0.5,4.8,"ミズナラ",56.6,NA,NA,NA,NA,NA,NA,NA,NA,"枯死",NA,NA,NA,NA,NA,"倒","","","20051003","20101129",NA,NA,NA,NA,NA,NA,NA,"","2011_C30","2011_C30","C30",NA,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C31","C31",1,7.3,"ミズナラ",44.5,44.4,NA,NA,NA,NA,NA,NA,NA,"先枯",NA,"枯",NA,NA,NA,"倒","","","20051003","20101129","20111107",NA,NA,NA,NA,NA,NA,"","2011_C31","2011_C31","C31",NA,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C32","C32",7.2,8,"ミズナラ",50.5,NA,NA,NA,NA,NA,NA,NA,NA,"枯死",NA,NA,NA,NA,NA,"倒","","","20051003","20101129",NA,NA,NA,NA,NA,NA,NA,"","2011_C32","2011_C32","C32",15,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C33","C33",9.3,9.8,"ミズナラ",22.1,22.4,22.9,23.3,23.4,23.6,23.9,23.7,23.7,"先枯","タグ落ち",NA,NA,"先枯","先枯","先枯","先枯・タグ付替","先枯","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","C543","2011_C33","2011_C33","C543",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C34","C34",9.7,7.2,"ホオノキ",16.3,20.7,22.4,24.3,25.7,27.5,29.3,31.5,33.1,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C34","2011_C34","C34",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,"C35","C35",7.2,9.1,"ヤエガワカンバ",73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"枯死・gbh73.9・タグ落ち",NA,NA,NA,NA,"倒","","","20051003","20101129",NA,NA,NA,NA,NA,NA,NA,"","2011_C35","2011_C35","C35",14,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,"C36","C36",5.1,3,"ミズナラ",90.7,92.9,93.3,93.6,93.7,94.1,94.9,95.5,95.6,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C36","2011_C36","C36",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,"C37","C37",5.1,3.2,"ミズナラ",57.3,58,58.5,58.1,58.1,58.1,58.7,58.4,58,"先枯",NA,NA,"先枯","先枯・先折",NA,NA,"先枯","先枯","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C37","2011_C37","C37",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,"C38","C38",8.6,4.1,"ミズナラ",103.9,107,107.8,108.4,108.8,110,112,114.6,114.2,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C38","2011_C38","C38",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,"C39","C39",9.8,2.2,"ミズナラ",29.7,29.7,29.9,30,29.9,30,30.3,30.4,29.9,"先枯",NA,NA,"先枯","先折",NA,"先折","先枯","先枯","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C39","2011_C39","C39",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
