#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,金子信博,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nishi Tanzawa (TZ-DB1). ,,,,,,,,,,,
#,SITE NAME,サイト名,丹沢,,,,,,,,,,,
#,PLOT NAME,調査区名,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TZ-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,20090324,データ成形（石原正恵）,,,,,,,,,,,,
#,,タグ重複：466、467、345、346がそれぞれ重複-→20090409段階では不明のため現状維持（仮番号をつけた),,,,,,,,,,,,
#,,１）478     178　　−−＞個体番号478に訂正,,,,,,,,,,,,
#,,２） 124     123     −−＞個体番号124に訂正,,,,,,,,,,,,
#,,３） 644     643     −−＞個体番号644に訂正,,,,,,,,,,,,
#,,マメツツジ？-->ndに,,,,,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord　をモニ1000フォーマットに変更",,,,,,,,,,,,
#,20171018,データ確認（日野貴文）,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,種名がイタヤカエデ？などのように「？」がついている個体はモニ1000仕様に合わせをndにして、noteに転記,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
#VALUE!,#VALUE!,C184,C184,？,？,ブナ,35.7 ,nd,倒木（生きている）＊座標忘れ；原点座標は暫定,行方不明,,na,na,B2
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","note13_2","s_date08","s_date13","mesh_site_original","dl08","dl13","rec08","rec13","error08","error13"
"8.0 ",56.4,"944","944",8,6.4,"イトマキイタヤ",171.1,177.7,"","","",NA,NA,"A5",0,0,0,0,0,0
"6.8 ",50.6,"945","945",6.8,0.6,"リョウブ",31.2,32,"","","",NA,NA,"A5",0,0,0,0,0,0
"6.4 ",50.4,"946","946",6.4,0.4,"リョウブ",28,NA,"","行方不明","",NA,NA,"A5",0,0,0,0,0,1
"3.8 ",58,"947","947",3.8,8,"サワシバ",35.7,36.7,"","","",NA,NA,"A5",0,0,0,0,0,0
"2.8 ",59.5,"948","948",2.8,9.5,"リョウブ",29.2,29.9,"","","",NA,NA,"A5",0,0,0,0,0,0
"2.8 ",59.5,"949","948",2.8,9.5,"リョウブ",16.7,18.1,"","","",NA,NA,"A5",0,0,0,0,0,0
"2.8 ",59.5,"950","948",2.8,9.5,"リョウブ",18.7,18.9,"","","",NA,NA,"A5",0,0,0,0,0,0
"2.8 ",59.5,"951","948",2.8,9.5,"リョウブ",33.8,33.8,"","","",NA,NA,"A5",0,0,0,0,0,0
"2.8 ",59.5,"952","948",2.8,9.5,"リョウブ",31.5,31.6,"枝分かれ","","",NA,NA,"A5",0,0,0,0,0,0
"0.3 ",58.2,"953","953",0.3,8.2,"アオダモ",65.2,70.9,"","","",NA,NA,"A5",0,0,0,0,0,0
"8.8 ",64.7,"685","685",8.8,4.7,"ブナ",95.1,99.5,"","","",NA,NA,"A6",0,0,0,0,0,0
"4.1 ",61.2,"686","686",4.1,1.2,"オオモミジ",85.5,87,"","","",NA,NA,"A6",0,0,0,0,0,0
"3.6 ",61.9,"687","687",3.6,1.9,"サワシバ",91,93.6,"","","",NA,NA,"A6",0,0,0,0,0,0
"2.6 ",60.2,"688","688",2.6,0.2,"イトマキイタヤ",22.5,22.9,"","","",NA,NA,"A6",0,0,0,0,0,0
"2.6 ",63.7,"689","689",2.6,3.7,"アオダモ",24.4,24.8,"","前回GBHデータ、34.4→24.4","",NA,NA,"A6",0,0,0,0,0,0
"2.1 ",64.3,"690","690",2.1,4.3,"リョウブ",25.7,26,"","","",NA,NA,"A6",0,0,0,0,0,0
"2.4 ",65.7,"691","691",2.4,5.7,"サワシバ",58.7,61.4,"","","",NA,NA,"A6",0,0,0,0,0,0
"1.7 ",65.7,"692","692",1.7,5.7,NA,15,NA,"樹皮真赤、ツル　？","行方不明","",NA,NA,"A6",0,0,-1,-1,0,1
"1.1 ",65.7,"693","693",1.1,5.7,"シナノキ",50.6,54.6,"","","",NA,NA,"A6",0,0,0,0,0,0
