#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,金子信博,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nishi Tanzawa (TZ-DB1). ,,,,,,,,,,,
#,SITE NAME,サイト名,丹沢,,,,,,,,,,,
#,PLOT NAME,調査区名,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TZ-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,20090324,データ成形（石原正恵）,,,,,,,,,,,,
#,,タグ重複：466、467、345、346がそれぞれ重複-→20090409段階では不明のため現状維持（仮番号をつけた),,,,,,,,,,,,
#,,１）478     178　　−−＞個体番号478に訂正,,,,,,,,,,,,
#,,２） 124     123     −−＞個体番号124に訂正,,,,,,,,,,,,
#,,３） 644     643     −−＞個体番号644に訂正,,,,,,,,,,,,
#,,マメツツジ？-->ndに,,,,,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord　をモニ1000フォーマットに変更",,,,,,,,,,,,
#,20171018,データ確認（日野貴文）,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,種名がイタヤカエデ？などのように「？」がついている個体はモニ1000仕様に合わせをndにして、noteに転記,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
#VALUE!,#VALUE!,C184,C184,？,？,ブナ,35.7 ,nd,倒木（生きている）＊座標忘れ；原点座標は暫定,行方不明,,na,na,B2
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","note13_2","s_date08","s_date13","mesh_site_original","dl08","dl13","rec08","rec13","error08","error13"
"11.9 ",69.6,"684","684",1.9,9.6,"オオモミジ",120.4,123.8,"","","",NA,NA,"B6",0,0,0,0,0,0
"15.6 ",63.6,"994","994",5.6,3.6,"リョウブ",39.7,40.5,"","","",NA,NA,"B6",0,0,0,0,0,0
"15.6 ",63.6,"995","994",5.6,3.6,"リョウブ",33.4,33.4,"","","",NA,NA,"B6",0,0,0,0,0,0
"12.4 ",61.2,"996","996",2.4,1.2,"リョウブ",49.9,NA,"","","",NA,NA,"B6",0,1,0,0,0,0
"10.8 ",61.2,"997","997",0.8,1.2,"サワシバ",125,129.2,"","","",NA,NA,"B6",0,0,0,0,0,0
"18.6 ",67,"998","998",8.6,7,"カジカエデ",125.3,128.2,"","","",NA,NA,"B6",0,0,0,0,0,0
"18.6 ",67,"999","998",8.6,7,"カジカエデ",26.7,26,"","","",NA,NA,"B6",0,0,0,0,0,0
"18.6 ",67,"1000","998",8.6,7,"カジカエデ",68.9,76,"","","",NA,NA,"B6",0,0,0,0,0,0
"18.6 ",67,"681","998",8.6,7,"カジカエデ",20.8,20.9,"","","",NA,NA,"B6",0,0,0,0,0,0
"18.6 ",67,"682","998",8.6,7,"カジカエデ",52.1,53.5,"","","",NA,NA,"B6",0,0,0,0,0,0
"18.6 ",67,"683","998",8.6,7,"カジカエデ",18.4,18,"","","",NA,NA,"B6",0,0,0,0,0,0
"14.0 ",79.2,"395","395",4,9.2,"ブナ",196.1,197.2,"","","",NA,NA,"B7",0,0,0,0,0,0
"14.0 ",79.7,"396","396",4,9.7,"ツルアジサイ",29.5,31.1,"","","前回？→ツルアジサイ",NA,NA,"B7",0,0,0,0,0,0
"18.7 ",76.6,"397","397",8.7,6.6,"タンナサワフタギ",20.5,20.5,"","","",NA,NA,"B7",0,0,0,0,0,0
"20.0 ",75.7,"398","398",10,5.7,"アオダモ",69,73.4,"","","",NA,NA,"B7",0,0,0,0,0,0
"20.0 ",75.7,"399","398",10,5.7,"アオダモ",27,27.5,"","","",NA,NA,"B7",0,0,0,0,0,0
"13.4 ",73.4,"421","421",3.4,3.4,"リョウブ",18.2,18.7,"","","",NA,NA,"B7",0,0,0,0,0,0
"13.4 ",73.4,"422","421",3.4,3.4,"リョウブ",28.5,30.3,"","","",NA,NA,"B7",0,0,0,0,0,0
"13.4 ",73.4,"423","421",3.4,3.4,"リョウブ",17.4,19.2,"","","",NA,NA,"B7",0,0,0,0,0,0
"13.4 ",73.4,"424","421",3.4,3.4,"リョウブ",38.6,40.2,"","","",NA,NA,"B7",0,0,0,0,0,0
"12.8 ",74.8,"425","425",2.8,4.8,"タンナサワフタギ",20.3,20.5,"","","",NA,NA,"B7",0,0,0,0,0,0
"12.8 ",74.8,"426","425",2.8,4.8,"タンナサワフタギ",17.8,18.3,"","","",NA,NA,"B7",0,0,0,0,0,0
"19.2 ",72,"440","440",9.2,2,"ブナ",68.8,77.8,"","","",NA,NA,"B7",0,0,0,0,0,0
"10.5 ",89,"C276","C276",0.5,9,"マメザクラ",18.9,18.9,"","","",NA,NA,"B8",0,0,0,0,0,0
"13.4 ",88.4,"C277","C277",3.4,8.4,"シナノキ",26.2,27.9,"","前回GBHデータ36.2→26.2に変更","",NA,NA,"B8",0,0,0,0,0,0
"14.0 ",87.7,"C278","C278",4,7.7,"アオダモ",20.4,NA,"","倒れ","",NA,NA,"B8",0,1,0,0,0,0
"14.0 ",87.7,"C279","C278",4,7.7,"アオダモ",46.1,NA,"","倒れ","",NA,NA,"B8",0,1,0,0,0,0
"14.0 ",87.7,"C280","C278",4,7.7,"アオダモ",27.9,NA,"計測位置　150cm　height","倒れ","",NA,NA,"B8",0,1,0,0,0,0
"14.0 ",87.7,"C281","C278",4,7.7,"アオダモ",52,NA,"計測位置　150cm　height","倒れ","",NA,NA,"B8",0,1,0,0,0,0
"13.8 ",85.2,"C282","C282",3.8,5.2,"カマツカ",22.7,22.7,"","","",NA,NA,"B8",0,0,0,0,0,0
"12.7 ",85.4,"C283","C283",2.7,5.4,"ヒナウチワカエデ",100.8,104,"計測位置　150cm　H","","",NA,NA,"B8",0,0,0,0,0,0
"16.6 ",85.9,"C284","C284",6.6,5.9,"アオダモ",24.3,NA,"","","",NA,NA,"B8",0,1,0,0,0,0
"19.6 ",85,"C285","C285",9.6,5,"ブナ",62.1,64.9,"","","",NA,NA,"B8",0,0,0,0,0,0
"10.7 ",88.5,"304","304",0.7,8.5,"アオダモ",NA,17,"","","",NA,NA,"B8",0,0,-1,1,0,0
"15.7 ",90.5,"C250","C250",5.7,0.5,"マメザクラ",32.7,32.9,"","","",NA,NA,"B9",0,0,0,0,0,0
"13.6 ",92,"C251","C251",3.6,2,"リョウブ",40.7,42,"","","",NA,NA,"B9",0,0,0,0,0,0
"13.6 ",92,"C252","C251",3.6,2,"リョウブ",16.2,16.6,"","","",NA,NA,"B9",0,0,0,0,0,0
"13.6 ",92,"C253","C251",3.6,2,"リョウブ",49.8,50.7,"","","",NA,NA,"B9",0,0,0,0,0,0
"13.6 ",92,"C254","C251",3.6,2,"リョウブ",22.9,NA,"","","",NA,NA,"B9",0,1,0,0,0,0
"13.6 ",92,"C255","C251",3.6,2,"リョウブ",43,44.5,"","","",NA,NA,"B9",0,0,0,0,0,0
"11.6 ",96.1,"C256","C256",1.6,6.1,"カマツカ",19.6,20.3,"","","",NA,NA,"B9",0,0,0,0,0,0
"17.2 ",94,"C257","C257",7.2,4,"ヒナウチワカエデ",111,117.5,"","","",NA,NA,"B9",0,0,0,0,0,0
"14.1 ",95.9,"C258","C258",4.1,5.9,"カジカエデ",18.8,21.3,"","","",NA,NA,"B9",0,0,0,0,0,0
"17.1 ",94.8,"C259","C259",7.1,4.8,"ブナ",65.2,67.7,"","","",NA,NA,"B9",0,0,0,0,0,0
"17.2 ",95.5,"C260","C260",7.2,5.5,"コシアブラ",32.4,36,"","","",NA,NA,"B9",0,0,0,0,0,0
"19.5 ",99.5,"C261","C261",9.5,9.5,"シナノキ",40.5,40.7,"","","",NA,NA,"B9",0,0,0,0,0,0
"19.4 ",99.9,"C262","C262",9.4,9.9,"マユミ",40.7,41.5,"","","",NA,NA,"B9",0,0,0,0,0,0
"24.7 ",5.6,"340","340",4.7,5.6,"ヒナウチワカエデ",88.4,91.6,"","","",NA,NA,"C0",0,0,0,0,0,0
"26.9 ",5.5,"343","343",6.9,5.5,"ミヤマイボタ",21.3,21.4,"","","",NA,NA,"C0",0,0,0,0,0,0
"26.9 ",5.5,"500","343",6.9,5.5,"ミヤマイボタ",NA,16.4,"","","",NA,NA,"C0",0,0,-1,1,0,0
"26.0 ",4.6,"350","350",6,4.6,"タンナサワフタギ",18.8,18.4,"","","",NA,NA,"C0",0,0,0,0,0,0
"25.3 ",3.5,"351","351",5.3,3.5,"タンナサワフタギ",25.6,25.1,"","","",NA,NA,"C0",0,0,0,0,0,0
"23.4 ",1.6,"358","358",3.4,1.6,"ブナ",16.5,17.9,"","","",NA,NA,"C0",0,0,0,0,0,0
"22.2 ",5.6,"348","348",2.2,5.6,"ホオノキ",83.3,86.7,"","345?→348タグ変更","",NA,NA,"C0",0,0,0,0,0,0
"21.7 ",5.6,"359","359",1.7,5.6,"ブナ",101.5,100,"","354?→359タグ変更","",NA,NA,"C0",0,0,0,0,0,0
"21.5 ",5,"354","354",1.5,5,"イタヤカエデ",108.8,111.8,"","354?→354タグ変更","",NA,NA,"C0",0,0,0,0,0,0
"29.9 ",18,"C13","C13",9.9,8,"アオダモ",18,22,"","","",NA,NA,"C1",0,0,0,0,0,0
"29.9 ",18,"402","C13",9.9,8,"アオダモ",NA,17.5,"","","",NA,NA,"C1",0,0,-1,1,0,0
"29.9 ",14.3,"C14","C14",9.9,4.3,"イトマキイタヤ",25.6,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"28.1 ",10.4,"C15","C15",8.1,0.4,"ハウチワカエデ",18,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"28.1 ",10.4,"C16","C15",8.1,0.4,"ハウチワカエデ",23.6,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"28.1 ",10.4,"C17","C15",8.1,0.4,"ハウチワカエデ",29.7,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"28.1 ",10.4,"C18","C15",8.1,0.4,"ハウチワカエデ",25.8,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"28.1 ",10.4,"C19","C15",8.1,0.4,"ハウチワカエデ",25.3,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"25.5 ",10.8,"C20","C20",5.5,0.8,"ブナ",27.4,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"23.3 ",19.4,"C21","C21",3.3,9.4,"リョウブ",24.2,NA,"","行方不明","",NA,NA,"C1",0,0,0,0,0,1
"29.0 ",19.3,"C22","C22",9,9.3,"ブナ",15.4,NA,"","行方不明","",NA,NA,"C1",0,0,-1,-1,0,1
"29.5 ",20.6,"C211","C211",9.5,0.6,"ホオノキ",164,NA,"","行方不明","",NA,NA,"C2",0,0,0,0,0,1
"29.5 ",20.6,"C212","C212",9.5,0.6,"ツルアジサイ",25.4,NA,"","行方不明","",NA,NA,"C2",0,0,0,0,0,1
"27.0 ",21.2,"C213","C213",7,1.2,"イトマキイタヤ",38.4,40.9,"","","",NA,NA,"C2",0,0,0,0,0,0
"24.5 ",25,"C214","C214",4.5,5,"カジカエデ",82.4,85,"","","",NA,NA,"C2",0,0,0,0,0,0
"28.0 ",24.5,"C215","C215",8,4.5,"アオダモ",29.4,31,"","","",NA,NA,"C2",0,0,0,0,0,0
"24.0 ",27,"C216","C216",4,7,"ヤマボウシ",63.4,64.8,"","","",NA,NA,"C2",0,0,0,0,0,0
"24.0 ",23,"C217","C217",4,3,"コミネカエデ",24.7,28.1,"","","",NA,NA,"C2",0,0,0,0,0,0
"23.0 ",23,"C218","C218",3,3,"ブナ",99.4,106.6,"","","",NA,NA,"C2",0,0,0,0,0,0
"22.0 ",20,"C219","C219",2,0,"サラサドウダン",16.6,NA,"","行方不明","",NA,NA,"C2",0,0,0,0,0,1
"22.0 ",20,"C220","C219",2,0,"サラサドウダン",46.4,NA,"","行方不明","",NA,NA,"C2",0,0,0,0,0,1
"22.0 ",20,"C180","C219",2,0,"サラサドウダン",21.2,NA,"","行方不明","",NA,NA,"C2",0,0,0,0,0,1
"27.8 ",24.6,"401","401",7.8,4.6,"リョウブ",NA,18.8,"","","",NA,NA,"C2",0,0,-1,1,0,0
"26.4 ",39.6,"C138","C138",6.4,9.6,"アオダモ",33,33.7,"","","",NA,NA,"C3",0,0,0,0,0,0
"26.4 ",39.6,"C139","C138",6.4,9.6,"アオダモ",17.4,18.2,"","","",NA,NA,"C3",0,0,0,0,0,0
"24.1 ",37.2,"C140","C140",4.1,7.2,"ブナ",192,197,"","","",NA,NA,"C3",0,0,0,0,0,0
"24.4 ",33.8,"C141","C141",4.4,3.8,"オオモミジ",30.7,33.9,"","","",NA,NA,"C3",0,0,0,0,0,0
"22.2 ",30,"403","403",2.2,0,"ハリギリ",202.7,210.4,"","C142→403タグ変更","",NA,NA,"C3",0,0,0,0,0,0
"21.4 ",39.7,"C143","C143",1.4,9.7,"カジカエデ",121.2,122.7,"","","",NA,NA,"C3",0,0,0,0,0,0
"21.4 ",39.7,"C144","C143",1.4,9.7,"カジカエデ",26.3,27.5,"","","",NA,NA,"C3",0,0,0,0,0,0
"21.4 ",39.4,"C145","C145",1.4,9.4,"ツルアジサイ",17.3,18.1,"","","",NA,NA,"C3",0,0,0,0,0,0
"20.5 ",47.1,"C108","C108",0.5,7.1,"リョウブ",27.9,28.5,"","","",NA,NA,"C4",0,0,0,0,0,0
"22.4 ",48.6,"C109","C109",2.4,8.6,"ブナ",134.9,139.5,"","","",NA,NA,"C4",0,0,0,0,0,0
"23.7 ",41.8,"C110","C110",3.7,1.8,"リョウブ",22,22.7,"","","",NA,NA,"C4",0,0,0,0,0,0
"24.7 ",42.5,"C111","C111",4.7,2.5,"アオダモ",26.1,NA,"根がえり、瀕死","","",NA,NA,"C4",0,1,0,0,0,0
"26.3 ",40.5,"C112","C112",6.3,0.5,"アオダモ",31.8,28.6,"ツル込み","","",NA,NA,"C4",0,0,0,0,0,0
"26.3 ",42.6,"C113","C113",6.3,2.6,"ミツバツツジ",21.8,22.5,"","","",NA,NA,"C4",0,0,0,0,0,0
"26.3 ",42.6,"C114","C113",6.3,2.6,"ミツバツツジ",23.1,23.5,"","","",NA,NA,"C4",0,0,0,0,0,0
"26.3 ",42.6,"C115","C113",6.3,2.6,"ミツバツツジ",15.2,16,"","","",NA,NA,"C4",0,0,-1,1,0,0
"26.3 ",42.6,"C116","C113",6.3,2.6,"ミツバツツジ",21.3,21.4,"","","",NA,NA,"C4",0,0,0,0,0,0
"27.0 ",49,"C117","C117",7,9,"ブナ",231.1,233.2,"","","",NA,NA,"C4",0,0,0,0,0,0
"27.9 ",46.6,"C118","C118",7.9,6.6,"サワシバ",51.8,53,"","","サワシバ？→サワシバ",NA,NA,"C4",0,0,0,0,0,0
"28.2 ",49.9,"414","414",8.2,9.9,"リョウブ",NA,20,"","","",NA,NA,"C4",0,0,-1,1,0,0
"27.4 ",55.4,"924","924",7.4,5.4,"リョウブ",34.7,34.4,"","","",NA,NA,"C5",0,0,0,0,0,0
"26.8 ",54.4,"925","925",6.8,4.4,"ブナ",89.1,90.6,"","","",NA,NA,"C5",0,0,0,0,0,0
"27.8 ",56.6,"926","926",7.8,6.6,"アオダモ",22.6,22.6,"","","",NA,NA,"C5",0,0,0,0,0,0
"27.8 ",56.6,"927","926",7.8,6.6,"アオダモ",52,54.9,"","","",NA,NA,"C5",0,0,0,0,0,0
"27.8 ",56.6,"928","926",7.8,6.6,"アオダモ",16.2,NA,"","行方不明","",NA,NA,"C5",0,0,0,0,0,1
"21.4 ",56.4,"929","929",1.4,6.4,"クロビイタヤ",51.8,53.4,"","","",NA,NA,"C5",0,0,0,0,0,0
"20.6 ",54.4,"930","930",0.6,4.4,"ブナ",171,176.8,"ツル込み","","",NA,NA,"C5",0,0,0,0,0,0
"26.6 ",54.4,"416","416",6.6,4.4,"ツルアジサイ",NA,25.6,"","","",NA,NA,"C5",0,0,-1,1,0,0
"26.3 ",63.2,"197","197",6.3,3.2,"リョウブ",27.4,NA,"","幹折れ","",NA,NA,"C6",0,1,0,0,0,0
"26.3 ",65.9,"198","197",6.3,5.9,"リョウブ",16.2,16.1,"","","",NA,NA,"C6",0,0,0,0,0,0
"28.3 ",65.9,"199","199",8.3,5.9,"リョウブ",16.5,16.2,"枝分かれ","","",NA,NA,"C6",0,0,0,0,0,0
"28.3 ",65.9,"981","199",8.3,5.9,"リョウブ",18,NA,"","幹折れ","",NA,NA,"C6",0,1,0,0,0,0
"28.3 ",62.6,"980","980",8.3,2.6,NA,38,38.5,"タンナサワフタギ？","","",NA,NA,"C6",0,0,0,0,0,0
"28.6 ",66.7,"982","982",8.6,6.7,"ブナ",285,291.5,"","","",NA,NA,"C6",0,0,0,0,0,0
"28.6 ",67.2,"983","983",8.6,7.2,"ツルアジサイ",19.8,21.2,"982のツル","死んでない","",NA,NA,"C6",0,0,0,0,0,0
"22.6 ",61.3,"984","984",2.6,1.3,"リョウブ",69.3,59.9,"","","",NA,NA,"C6",0,0,0,0,0,0
"22.6 ",61.3,"985","984",2.6,1.3,"リョウブ",17,19,"","","",NA,NA,"C6",0,0,0,0,0,0
"20.4 ",62.8,"986","986",0.4,2.8,"アオダモ",61.1,64.7,"","","",NA,NA,"C6",0,0,0,0,0,0
"20.4 ",62.8,"987","986",0.4,2.8,"アオダモ",17.5,17.6,"枝分かれ","","",NA,NA,"C6",0,0,0,0,0,0
"20.4 ",62.8,"988","986",0.4,2.8,"アオダモ",17.4,17.3,"枝分かれ","","",NA,NA,"C6",0,0,0,0,0,0
"22.6 ",64.7,"989","989",2.6,4.7,"サラサドウダン",24.7,24.5,"枝分かれ","","",NA,NA,"C6",0,0,0,0,0,0
"22.6 ",64.7,"990","989",2.6,4.7,"サラサドウダン",25.8,25.4,"","","",NA,NA,"C6",0,0,0,0,0,0
"23.0 ",69.3,"991","991",3,9.3,"リョウブ",55,55.8,"","","",NA,NA,"C6",0,0,0,0,0,0
"23.0 ",69.3,"992","991",3,9.3,"リョウブ",35.7,36.4,"","","",NA,NA,"C6",0,0,0,0,0,0
"23.0 ",69.3,"993","991",3,9.3,"リョウブ",38.6,40.2,"","","",NA,NA,"C6",0,0,0,0,0,0
"24.0 ",76,"386","386",4,6,NA,36.7,36.8,"同株","","不明→サラサドウダンツツジ？",NA,NA,"C7",0,0,0,0,0,0
"24.0 ",76,"387","386",4,6,NA,19.4,19.5,"同株","","不明→サラサドウダンツツジ？",NA,NA,"C7",0,0,0,0,0,0
"24.0 ",76,"388","386",4,6,NA,43,43.8,"同株","","不明→サラサドウダンツツジ？",NA,NA,"C7",0,0,0,0,0,0
"24.0 ",76,"389","386",4,6,NA,35.9,38,"同株","","不明→サラサドウダンツツジ？",NA,NA,"C7",0,0,0,0,0,0
"24.0 ",76,"390","386",4,6,NA,29.4,29.6,"同株","","不明→サラサドウダンツツジ？",NA,NA,"C7",0,0,0,0,0,0
"24.0 ",76,"391","386",4,6,NA,17,17.4,"同株","","不明→サラサドウダンツツジ？",NA,NA,"C7",0,0,0,0,0,0
"29.2 ",76,"392","392",9.2,6,"ブナ",50.7,52.3,"","","",NA,NA,"C7",0,0,0,0,0,0
"28.8 ",70.4,"393","393",8.8,0.4,"シナノキ",49.5,52.5,"","","",NA,NA,"C7",0,0,0,0,0,0
"24.5 ",73.7,"394","394",4.5,3.7,"コミネカエデ",51,56.8,"","","",NA,NA,"C7",0,0,0,0,0,0
NA,83.6,"260","260",3.6,3.6,NA,16,NA,"","イワガラミ？","",NA,NA,"Ｃ8",0,0,0,0,0,1
"21.4 ",93.3,"910","910",1.4,3.3,"未同定",205.8,NA,"","存在なし","",NA,NA,"C9",0,0,0,0,0,1
"28.8 ",95.2,"C242","C242",8.8,5.2,"ブナ",118.8,119.4,"","","",NA,NA,"C9",0,0,0,0,0,0
"21.1 ",97.3,"C243","C243",1.1,7.3,"リョウブ",54.4,55.3,"","","",NA,NA,"C9",0,0,0,0,0,0
"21.1 ",97.3,"C244","C243",1.1,7.3,"リョウブ",28.9,24.4,"","","",NA,NA,"C9",0,0,0,0,0,0
"21.1 ",97.3,"C245","C243",1.1,7.3,"リョウブ",22.6,22.3,"","","",NA,NA,"C9",0,0,0,0,0,0
"23.0 ",99.5,"C247","C247",3,9.5,"ブナ",20.5,21.1,"","","",NA,NA,"C9",0,0,0,0,0,0
"22.9 ",99.7,"C248","C248",2.9,9.7,"サワシバ",47.4,47.5,"","","",NA,NA,"C9",0,0,0,0,0,0
"28.4 ",97.6,"C249","C249",8.4,7.6,"アオダモ",45.5,47.4,"","","",NA,NA,"C9",0,0,0,0,0,0
"29.2 ",93.2,"C910","C910",9.2,3.2,"イトマキイタヤ",206.9,218.6,"タグに切れ込み無し","","",NA,NA,"C9",0,0,0,0,0,0
"32.4 ",7,"405","405",2.4,7,"ミズメ",38.2,38.8,"","","",NA,NA,"D0",0,0,0,0,0,0
"36.7 ",2,"413","413",6.7,2,"タンナサワフタギ",22.4,23.6,"","","",NA,NA,"D0",0,0,0,0,0,0
"32.3 ",3.6,"414","414",2.3,3.6,"ブナ",130.7,128.7,"","ツルなし測定","",NA,NA,"D0",0,0,0,0,0,2
"31.2 ",5.7,"415","415",1.2,5.7,"タンナサワフタギ",21.6,21.1,"","","",NA,NA,"D0",0,0,0,0,0,0
"32.0 ",7.8,"417","417",2,7.8,"ミズキ",46.5,NA,"","崩壊で無くなった","",NA,NA,"D0",0,0,0,0,0,1
"37.8 ",2.5,"418","418",7.8,2.5,"ブナ",84.7,85.7,"","","",NA,NA,"D0",0,0,0,0,0,0
"39.7 ",0.7,"419","419",9.7,0.7,"タンナサワフタギ",28.2,27.8,"","","",NA,NA,"D0",0,0,0,0,0,0
"38.4 ",16.9,"C10","C10",8.4,6.9,"ハリギリ",179.5,189.3,"","前回データ変更79.5→179.5","",NA,NA,"D1",0,0,0,0,0,0
"37.7 ",14.5,"C11","C11",7.7,4.5,"ハウチワカエデ",20.3,22.8,"","","",NA,NA,"D1",0,0,0,0,0,0
"37.7 ",14.5,"C12","C11",7.7,4.5,"ハウチワカエデ",15.7,19.3,"","","",NA,NA,"D1",0,0,0,0,0,0
"39.2 ",18.8,"C6","C6",9.2,8.8,"ブナ",114.8,117.4,"","","",NA,NA,"D1",0,0,0,0,0,0
"39.9 ",18,"C7","C7",9.9,8,"サワシバ",51.3,52,"","","",NA,NA,"D1",0,0,0,0,0,0
"38.4 ",17.5,"C8","C8",8.4,7.5,"シナノキ",31.6,33.6,"","","",NA,NA,"D1",0,0,0,0,0,0
"38.4 ",17.5,"C9","C8",8.4,7.5,"シナノキ",20.5,23.5,"","","",NA,NA,"D1",0,0,0,0,0,0
"33.0 ",22.5,"C202","C202",3,2.5,"クマシデ",17.4,20.1,"","","",NA,NA,"D2",0,0,0,0,0,0
"33.0 ",22.5,"C203","C203",3,2.5,"クマシデ",15.8,16.5,"","","",NA,NA,"D2",0,0,0,0,0,0
"30.5 ",28,"C204","C204",0.5,8,"ブナ",40.5,43.3,"","","",NA,NA,"D2",0,0,0,0,0,0
"32.0 ",26.3,"C205","C205",2,6.3,"ミズキ",121.8,129,"","","",NA,NA,"D2",0,0,0,0,0,0
"30.5 ",27,"C206","C206",0.5,7,"リョウブ",NA,26.3,"＊周囲長忘れ","","",NA,NA,"D2",0,0,0,0,1,0
"31.0 ",27,"C207","C207",1,7,"リョウブ",25.6,27.5,"","","",NA,NA,"D2",0,0,0,0,0,0
"31.0 ",27,"C208","C207",1,7,"リョウブ",32,34.5,"","","",NA,NA,"D2",0,0,0,0,0,0
"31.0 ",27,"C209","C207",1,7,"リョウブ",29.4,25,"","","",NA,NA,"D2",0,0,0,0,0,0
"31.0 ",27,"C210","C207",1,7,"リョウブ",28.3,31.1,"","","",NA,NA,"D2",0,0,0,0,0,0
"33.5 ",28,"C221","C221",3.5,8,"ヤマボウシ",43.7,44.5,"　","","",NA,NA,"D2",0,0,0,0,0,0
"33.5 ",28,"C201","C221",3.5,8,"ヤマボウシ",44.2,42.3,"","","",NA,NA,"D2",0,0,0,0,0,0
"31.8 ",23.5,"C222","C222",1.8,3.5,"サワシバ",44,49.9,"","","",NA,NA,"D2",0,0,0,0,0,0
"32.5 ",28.5,"C224","C224",2.5,8.5,"サラサドウダン",44.2,51,"","","",NA,NA,"D2",0,0,0,0,0,0
"32.5 ",28.5,"C223","C224",2.5,8.5,"サラサドウダン",21.3,22.4,"","","",NA,NA,"D2",0,0,0,0,0,0
"32.0 ",29.8,"C225","C225",2,9.8,"カマツカ",15.4,16.3,"","","",NA,NA,"D2",0,0,-1,1,0,0
"33.1 ",29.5,"C226","C226",3.1,9.5,"カマツカ",15.7,16,"","","",NA,NA,"D2",0,0,0,0,0,0
"33.1 ",29.5,"411","C226",3.1,9.5,"カマツカ",NA,15.5,"","","",NA,NA,"D2",0,0,-1,-1,0,0
"39.0 ",27,"C231","C231",9,7,"リョウブ",21,23.6,"","","",NA,NA,"D2",0,0,0,0,0,0
"39.0 ",27,"C230","C231",9,7,"リョウブ",27.9,27.5,"","","",NA,NA,"D2",0,0,0,0,0,0
"39.0 ",27,"C229","C231",9,7,"リョウブ",34,NA,"腐り","","",NA,NA,"D2",0,1,0,0,0,0
"37.7 ",37.5,"C126","C126",7.7,7.5,"ブナ",127,135.8,"","","",NA,NA,"D3",0,0,0,0,0,0
"39.0 ",35.3,"413","413",9,5.3,"オオモミジ",75.8,81.3,"","C127→413タグ変更","",NA,NA,"D3",0,0,0,0,0,0
"37.5 ",30.8,"C128","C129",7.5,0.8,"カマツカ",15.5,20.1,"","","",NA,NA,"D3",0,0,-1,1,0,0
"37.5 ",30.8,"C129","C129",7.5,0.8,"カマツカ",16.3,18.6,"","","",NA,NA,"D3",0,0,0,0,0,0
"33.3 ",34.5,"C130","C131",3.3,4.5,"リョウブ",31.2,34.3,"","","",NA,NA,"D3",0,0,0,0,0,0
"33.3 ",34.5,"C131","C131",3.3,4.5,"リョウブ",50.2,55.4,"","","",NA,NA,"D3",0,0,0,0,0,0
"35.1 ",32.1,"C132","C132",5.1,2.1,NA,116.1,119,"","マメザクラ？","",NA,NA,"D3",0,0,0,0,0,0
"35.1 ",30.8,"C133","C133",5.1,0.8,"ブナ",28.5,33.4,"","","",NA,NA,"D3",0,0,0,0,0,0
"34.2 ",30.8,"C134","C134",4.2,0.8,"リョウブ",28.9,32.3,"","","",NA,NA,"D3",0,0,0,0,0,0
"34.2 ",30.8,"C135","C134",4.2,0.8,"リョウブ",21,22.9,"","","",NA,NA,"D3",0,0,0,0,0,0
"32.6 ",32.4,"C136","C136",2.6,2.4,"マメザクラ",73,78.7,"","","",NA,NA,"D3",0,0,0,0,0,0
"33.0 ",35,"C137","C137",3,5,"サラサドウダン",28.4,29.3,"","","",NA,NA,"D3",0,0,0,0,0,0
"30.7 ",44,"C119","C119",0.7,4,"マユミ",37.7,37.4,"ツル込み","","",NA,NA,"D4",0,0,0,0,0,0
"30.1 ",42.4,"397","397",0.1,2.4,"アオダモ",15.6,17.9,"","C120→397タグ変更","",NA,NA,"D4",0,0,-1,1,0,0
