#/log,DATA CREATED,データ作成日,20170105,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,伊東明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Mt. Kasuga (KA-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,春日山,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KA-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,
#/log,20070525,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord of tag_no=723030 has been collected to (0, 20) from (2,22) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"mesh_xcord, mesh_ycord of tag_no=723029 has been collected to (0, 20) from (1,21) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"stem_xcord, stem_ycord of tag_no=723029 has been collected to (7.6, 5.4) from (8.6, 6.4) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"stem_xcord, stem_ycord of tag_no=723030 has been collected to (7.6, 5.4) from (9.6, 7.4) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,20120302,2011年データを追加、異常値はサイトに確認,,,,,,,,,,,,,,,
#,,1127047が重複->イヌガシの方が1127052だった,,,,,,,,,,,,,,,
#,,tag_no= 728041 929011 1028026 1224036 1330034 1521012 1521013 1529016のgbhは測定間違いの可能性あり->728041 929011 1224036 1330034は入力ミスのため修正、他は野帳通り,,,,,,,,,,,,,,,
#,,tag_no= 824015 1023017 1224038 1430005のgbhは測定間違いの可能性あり->gbh11をnd,,,,,,,,,,,,,,,
#,,tag_no= 825014a 921049 930009 1224034 1329039 1424057a 1625019aのgbhは測定間違いの可能性あり->gbh06をnd,,,,,,,,,,,,,,,
#,,tag_no= 1224034 のgbhは測定間違いの可能性あり->gbh11をvn,,,,,,,,,,,,,,,
#,20160105,tag no = 925040　1027007 1028006 1028010 1028012a 1028012b 1028034 1121013 1121015 1223025 1224046 1224054 1227030 1230030 1321011a 1321011b　1526012 1526019 1622005はnote11の記載漏れ-> note11に「枯死」「枯れ」「立ち枯れ」と追記、gbh11をnd->dに変更,,,,,,,,,,,,,,,
#,,tag no = 1126029は前回2011に枯としていたが、今回生存が確認されたので、前回野帳に記録していたgbh11を記入した,,,,,,,,,,,,,,,
#,,tag no = 1230034 1230042は、前回別の個体の値を計測していたと思われる->gbh11をnd,,,,,,,,,,,,,,,
#,20171005,データ確認（日野）,,,,,,,,,,,,,,,
#,,備考欄に、立ち枯れ、枯れ等の記載があるが、gbhが「na」の個体→「ｄ」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,0,"721025",721025,"4.3","7.8","アカシデ",79.9,80.2,81.1,NA,NA,NA,"20070306","20111129",20161107,"2006_721025","2006_721025",0,0,0,0,0,0,0,0,0
0,0,"721026",721026,"4.3","8","アカシデ",38.9,38.9,38.9,NA,NA,NA,"20070306","20111129",20161107,"2006_721026","2006_721026",0,0,0,0,0,0,0,0,0
0,0,"721027",721027,"4","7.9","サカキ",26.2,30,31.4,NA,NA,NA,"20070306","20111129",20161107,"2006_721027","2006_721027",0,0,0,0,0,0,0,0,0
0,0,"721028",721028,"4.3","9.6","サカキ",26.5,28.7,31.5,NA,NA,NA,"20070306","20111129",20161107,"2006_721028","2006_721028",0,0,0,0,0,0,0,0,0
0,0,"721029",721029,"6.1","8.9","ツガ",34.5,35,36.5,NA,NA,NA,"20070306","20111129",20161107,"2006_721029","2006_721029",0,0,0,0,0,0,0,0,0
0,0,"721030",721030,"5.8","8.7","アカシデ",101,103.9,104.8,NA,NA,NA,"20070306","20111129",20161107,"2006_721030","2006_721030",0,0,0,0,0,0,0,0,0
0,0,"721031",721031,"8.1","9.2","スギ",55.4,58,59.7,NA,NA,NA,"20070306","20111129",20161107,"2006_721031","2006_721031",0,0,0,0,0,0,0,0,0
0,0,"721032",721032,"9.4","7.3","スギ",38.1,40.3,38.5,NA,NA,NA,"20070306","20111129",20161107,"2006_721032","2006_721032",0,0,0,0,0,0,0,0,0
0,10,"722001",722001,"9.3","2.8","ウラジロガシ",22.8,23.2,24.4,NA,NA,"種名訂正（イヌガシ→ウラジロガシ）","20070306","20111129",20161107,"2006_722001","2006_722001",0,0,0,0,0,0,0,0,0
0,10,"722002",722002,"6.5","3.5","ツガ",39.1,39.4,39.9,NA,NA,NA,"20070306","20111129",20161107,"2006_722002","2006_722002",0,0,0,0,0,0,0,0,0
0,10,"722003",722003,"6.9","3.9","サカキ",20.9,23.1,25.5,NA,NA,NA,"20070306","20111129",20161107,"2006_722003","2006_722003",0,0,0,0,0,0,0,0,0
0,10,"722004",722004,"7.9","6.9","クロバイ",17.5,17.6,NA,NA,NA,"立ち枯れ","20070306","20111129",20161107,"2006_722004","2006_722004",0,0,1,0,0,0,0,0,0
0,10,"722005",722005,"7.8","7","イヌガシ",36.9,41.6,46.2,NA,NA,NA,"20070306","20111129",20161107,"2006_722005","2006_722005",0,0,0,0,0,0,0,0,0
0,10,"722006",722006,"5.8","8.6","アカシデ",57.9,58.8,NA,NA,NA,"枯れ、根元のみ残存","20070306","20111129",20161107,"2006_722006","2006_722006",0,0,1,0,0,0,0,0,0
0,10,"722007",722007,"6.3","9.2","サカキ",27.7,30.3,32.8,NA,NA,NA,"20070306","20111129",20161107,"2006_722007","2006_722007",0,0,0,0,0,0,0,0,0
0,10,"722008",722008,"1.9","9.1","アセビ",45.9,45.8,45.9,"722008と同株",NA,"722008と同株","20070306","20111129",20161107,"2006_722008","2006_722008",0,0,0,0,0,0,0,0,0
0,10,"722009",722008,"1.9","9.1","アセビ",22.2,23.3,25,"722008と同株",NA,"722008と同株","20070306","20111129",20161107,"2006_722009","2006_722008",0,0,0,0,0,0,0,0,0
0,10,"722010",722010,"0.2","6.9","サカキ",25.3,28.6,31.8,NA,NA,NA,"20070306","20111129",20161107,"2006_722010","2006_722010",0,0,0,0,0,0,0,0,0
0,10,"722011",722011,"0.4","3.5","ウラジロガシ",23.3,24.3,25,NA,NA,NA,"20070306","20111129",20161107,"2006_722011","2006_722011",0,0,0,0,0,0,0,0,0
0,10,"722012",722012,"1.2","2.7","サカキ",27.8,30.1,33,NA,NA,NA,"20070306","20111129",20161107,"2006_722012","2006_722012",0,0,0,0,0,0,0,0,0
0,10,"722013",722013,"0.7","1.7","アカシデ",76.5,78.8,81.8,NA,NA,NA,"20070306","20111129",20161107,"2006_722013","2006_722013",0,0,0,0,0,0,0,0,0
0,10,"722014",722014,"3.5","1.1","アカシデ",98.4,100.1,102.1,NA,NA,NA,"20070306","20111129",20161107,"2006_722014","2006_722014",0,0,0,0,0,0,0,0,0
0,10,"722015",722015,"5.4","0.7","サカキ",15.6,17.3,19.3,NA,NA,NA,"20070306","20111129",20161107,"2006_722015","2006_722015",0,0,0,-1,1,0,0,0,0
0,10,"722016",722016,"3.9","4.3","コジイ",51.5,53,54.7,NA,NA,NA,"20070306","20111129",20161107,"2006_722016","2006_722016",0,0,0,0,0,0,0,0,0
