#/log,DATA CREATED,データ作成日,,20180320,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,,西村尚之,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Daisen-monjyugoe　(DI-DB1）.,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,大山文殊越,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,DI-DB1,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,,,,,,,
#,20120208,2006年と2011年分を合わせてデータ作成(西村尚之),,,,,,,,,,,,,,,,,,,,,,,,,
#,20120208,データ成形（鈴木智之）,,,,,,,,,,,,,,,,,,,,,,,,,
#,,旧タグ番号の色（半角カタカナ）を英略に変換（ミドリ->GN ピンク->PK アオ->BL アカ->RD シロ->WT キ->YL）,,,,,,,,,,,,,,,,,,,,,,,,,
#,,A807が重複->おそらく同一個体と思われるので（60-40）で新規扱いになっている方を削除,,,,,,,,,,OK,,,,,,,,,,,,,,,
#,,A524の個体タグがA254になっている->A524の間違い,,,,,,,,,,修正済,,,,,,,,,,,,,,,
#,,異種同株多数→片方に合わせた（次回要確認）(20120301),,,,,,,,,,,,,,,,,,,,,,,,,
#,," ""B15,コミネカエデ""   ""B15,ハウチワカエデ""",,,,,,,,,,ハウチワカエデ,,,,,,,,,,,,,,,
#,," ""B48,オオカメノキ"" ""B48,リョウブ""    ",,,,,,,,,,オオカメノキ,,,,,,,,,,,,,,,
#,," ""B5,ハウチワカエデ"" ""B5,コミネカエデ""  ",,,,,,,,,,ハウチワカエデ,,,,,,,,,,,,,,,
#,," ""B51,ハウチワカエデ"" ""B51,コミネカエデ""  ",,,,,,,,,,ハウチワカエデ,,,,,,,,,,,,,,,
#,," ""YL7,ブナ""         ""YL7,オオカメノキ""",,,,,,,,,,オオカメノキ,,,,,,,,,,,,,,,
#,,tag_no= A2 A261 A270 A62のgbhは測定間違いの可能性あり -> 大きく成長した可能性あり,,,,,,,,,,備考に記載,,,,,,,,,,,,,,,
#,20120301,stem_idに重複のあるものは、片方を2011年のタグをIDとした,,,,,,,,,,,,,,,,,,,変更後,変更後,,,,,
#,20170203,2016年データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,
#,,新規個体の前年までが空白→naを入力,,,,,,,,,,,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,,,,,,,,,,,
#,,生存だが測定不能の個体のｇｂｈの欄が「na」→「nd」を入力,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,幹No,個体No,以前のデータの,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","spc_japan","stem_xcord","stem_ycord","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","tag_no_original","indv_no_original","tag_no06","tag_no.1","indv_no.1","修正済みの項目","X","X.1","X.2","X.3","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,10,"A9","A9","サワグルミ",9.99,2.4,NA,56.1,63.5,NA,"やり忘れ","階層進級",NA,20111024,"20160822","2011_A9","2011_A9","A9","A9",NA,"nWA9","nWA9","",NA,NA,NA,NA,0,0,0,0,0,0,1,0,0
0,20,"A22","A22","オオイタヤメイゲツ",0.6,4.7,18.4,22.3,26,NA,NA,NA,"20061018",20111024,"20160822","2006_GN5","2006_GN5","A22","A22","ミ5","nWA22","nWA22","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A23","A22","オオイタヤメイゲツ",0.6,4.7,NA,19.9,23.8,NA,NA,NA,NA,20111024,"20160822","2011_A23","2006_GN5","A23","A22",NA,"nWA23","nWA22","",NA,NA,NA,NA,0,0,0,-1,1,0,0,0,0
0,20,"A37","A37","ブナ",1.3,6.5,20,20.7,20.7,NA,NA,NA,"20061018",20111024,"20160822","2011_A37","2011_A37","A37","A37","アオ21","nWA37","nWA37","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A26","A26","ブナ",1.6,5.6,143,148.2,154.8,NA,NA,NA,"20061018",20111024,"20160822","2006_BL20","2006_BL20","A26","A26","アオ20","nWA26","nWA26","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A30","A30","サワグルミ",4.4,4.1,22.4,20,NA,"根元から1.3ｍで測定","測定位置変更","倒れ","20061018",20111024,"20160822","2006_BL14","2006_BL14","A30","A30","アオ14","nWA30","nWA30","",NA,NA,NA,NA,0,0,1,0,0,0,0,2,0
0,20,"A20","A20","ブナ",5.1,0.1,201.5,204.9,209.8,NA,NA,NA,"20061018",20111024,"20160822","2006_BL13","2006_BL13","A20","A20","アオ13","nWA20","nWA20","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A21","A21","ハウチワカエデ",5.2,3.9,17.1,19.8,21.3,NA,NA,NA,"20061018",20111024,"20160822","2006_BL15","2006_BL15","A21","A21","アオ15","nWA21","nWA21","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A27","A27","ブナ",5.6,7.5,23.1,24.9,26.3,NA,NA,NA,"20061018",20111024,"20160822","2006_BL23","2006_BL23","A27","A27","アオ23","nWA27","nWA27","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A31","A31","ブナ",6.1,7.9,52.2,56.3,60,NA,NA,NA,"20061018",20111024,"20160822","2006_BL24","2006_BL24","A31","A31","アオ24","nWA31","nWA31","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A28","A29","サワグルミ",6.3,5.5,27.1,29.4,31.5,NA,NA,NA,"20061018",20111024,"20160822","2011_A28","2006_BL18","A28","A29","アオ19","nWA28","nWA29","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A29","A29","サワグルミ",6.3,5.5,226.4,228,236.4,NA,NA,NA,"20061018",20111024,"20160822","2006_BL18","2006_BL18","A29","A29","アオ18","nWA29","nWA29","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,20,"A32","A29","サワグルミ",6.3,5.5,32.1,31,NA,NA,"測定位置変更","立枯","20061018",20111024,"20160822","2011_A32","2006_BL18","A32","A29","アオ17","nWA32","nWA29","",NA,NA,NA,NA,0,0,1,0,0,0,0,2,0
0,20,"A33","A29","サワグルミ",6.3,5.5,26,26.1,NA,NA,NA,"立枯","20061018",20111024,"20160822","2006_BL16","2006_BL18","A33","A29","アオ16","nWA33","nWA29","",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0
0,20,"A34","A29","サワグルミ",6.3,5.5,NA,18.2,19.5,NA,NA,NA,NA,20111024,"20160822","2011_A34","2006_BL18","A34","A29",NA,"nWA34","nWA29","",NA,NA,NA,NA,0,0,0,-1,1,0,0,0,0
0,20,"A35","A29","サワグルミ",6.3,5.5,NA,19.6,20.5,NA,NA,NA,NA,20111024,"20160822","2011_A35","2006_BL18","A35","A29",NA,"nWA35","nWA29","",NA,NA,NA,NA,0,0,0,-1,1,0,0,0,0
0,30,"A40","A40","ブナ",0.4,2.6,21.4,25.5,30.8,NA,NA,NA,"20061018",20111024,"20160822","2011_A40","2011_A40","A40","A40","アオ28","nWA40","nWA40","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,30,"A44","A44","ブナ",0.6,4.6,21,24.7,27.9,NA,NA,NA,"20061018",20111024,"20160822","2011_A44","2011_A44","A44","A44","アオ29","nWA44","nWA44","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
