#/log,DATA CREATED,データ作成日,20070801,,,,,,,
#/doc,DATA CREATER,データ作成者,蒔田明史,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nibuna-mizusawa （NB-EC1).,,,,,,,
#,SITE NAME,サイト名,仁鮒水沢(スギ保護林),,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,
#,PLOT CODE,調査区コード,NB-EC1,,,,,,,
#,PLOT SIZE,面積,1ha,50x200ｍ,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,
#,,spc_japan,種名,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,
#,,note,備考,,,,,,,
#,,s_data,調査日,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,
#/log,20071126,Data of 2006 was arranged.,,,,,,,,
#,,,,,,,,,,
#,20090916,tag_no=288が二個体あったため、サワグルミを288.1し、個体番号も変更,,,,,,,,
#,,indv_no=Y35が樹種、場所が異なるため、tag_no=B35のindv_no=Y35.1とした,,,,,,,,
#,,note06.1にref-IDを入力、樹種同定不確かなものはnaにした,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord has been changed to Moni1000 format.",,,,,,,,
#,20101116,"tag=R147,148,149,R110重複。同一幹の可能性あり。-> 片方の行頭に#をつけた",,,,,,,,
#,,tag=B229は同一株内で重複-> -1 -2をつけた,,,,,,,,
#,20110107,イタヤカエデ->アカイタヤ,,,,,,,,
#/data,,,,,,,,,,
#70,0,R110,Y101,0,9,ハクウンボク,25.9 ,xはＮＳ方向,02_P549,20061003
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","note06","note06.1","s_date06","dl06","rec06","error06"
100,10,NA,"39 ","2.3","4.3","スギ",NA,NA,"80_39",20061003,1,-1,0
100,10,"P862","P862","2","1","ウワミズザクラ",15.6,"新規","06_P862",20061003,0,-1,0
100,10,"P863","Y117","1","8","ノリウツギ",16.8,"120㎝で分かれる","04_Y117",20061003,0,0,0
100,10,"P866","Y25","1","9","ノリウツギ",17.6,NA,"00_Y25",20061003,0,0,0
110,10,"P112","P112","8.0 ","7.0 ","スギ",364.3,"ツル1本込み　座標は10×10Ｍ区内の座標","02_P112",20061003,0,0,0
110,10,"P113","P113","9.0 ","4.0 ","スギ",280.9,NA,"02_P113",20061003,0,0,0
110,10,"P521","P521","9.0 ","7.0 ","ホオノキ",NA,"折れ　0.8mくらい","02_P521",20061003,1,-1,0
110,10,"P523","P523","9.0 ","5.0 ","トチノキ",41,NA,"02_P523",20061003,0,0,0
120,10,"P506","P506","2.0 ","8.0 ","ホオノキ",39.2,NA,"02_P506",20061003,0,0,0
120,10,"P522","P522","2.5 ","9.0 ","コミネカエデ",41.4,NA,"02_P522",20061003,0,0,0
130,10,"P101","P101","3.0 ","1.0 ","スギ",262.6,NA,"02_P101",20061003,0,0,0
130,10,"P877","P102","1.0 ","3.0 ","スギ",239,"Pラベルなし","02_P102",20061003,0,0,0
130,10,"P103","P103","2.0 ","7.0 ","スギ",233.1,"コブの下方　前回のペンキなし　ツル抜き","02_P103",20061003,0,0,0
130,10,"P105","P105","9.5 ","9.0 ","スギ",186.5,"ツルはずし、ペンキなし","02_P105",20061003,0,0,0
130,10,"P880","P107","8.0 ","1.0 ","スギ",270.9,"前回（2002）間違いか？","02_P107",20061003,0,0,0
130,10,"P876","P876","0.5 ","9.5 ","ノリウツギ",19.7,"新規","06_P876",20061003,0,0,0
140,10,"P507","P507","1.0 ","8.0 ","コシアブラ",28.7,NA,"02_P507",20061003,0,0,0
140,10,"P508","P508","3.0 ","7.0 ","ホオノキ",20.6,NA,"02_P508",20061003,0,0,0
140,10,"P509","P509","5.0 ","8.0 ","トチノキ",15.2,NA,"02_P509",20061003,0,-1,0
140,10,"P510","P51","8.0 ","9.5 ","トチノキ",43.9,"ツル込み","02_P510",20061003,0,0,0
140,10,"P511","P511","8.0 ","9.5 ","トチノキ",39.2,NA,"02_P511",20061003,0,0,0
140,10,"P514","P514","0.0 ","2.0 ","マルバアオダモ",22.7,NA,"02_P514",20061003,0,0,0
140,10,"P885","P519","8.0 ","2.0 ","マルバアオダモ",19.5,"新規　P885、886同株　H0.5mで2分岐　ラベルP519落ち","02_P519",20061003,0,0,0
140,10,"P886","P519","8.0 ","2.0 ","マルバアオダモ",18,"新規　P885、886同株　H0.5mDE2分岐","06_P886",20061003,0,0,0
140,10,"P884","P884","9.5 ","0.5 ","スギ",221.4,"新規　（前回は範囲外とした？）","06_P884",20061003,0,0,0
140,10,"P887","P887","8.0 ","4.0 ","ヤマグワ",18.7,"新規　幹わけの上の方","06_P887",20061003,0,0,0
150,10,"P915","P915","4","3","トチノキ",29.5,NA,"06_P915",20061003,0,0,0
150,10,"P916","P916","4","2.5","トチノキ",55.3,NA,"06_P916",20061003,0,0,0
150,10,"P917","P917","1","10","オオバクロモジ",16.1,NA,"06_P917",20061003,0,0,0
150,10,"P918","P918","4","7","トチノキ",21.5,NA,"06_P918",20061003,0,0,0
150,10,"P919","P919","5","3","スギ",145.5,"旧札半分しかない","06_P919",20061003,0,0,0
150,10,"P920","P920","8.5","9.5","トチノキ",17,NA,"06_P920",20061003,0,0,0
160,10,"R101","R101","2","0.5","マルバアオダモ",41.6,"R101、102同株","06_R101",20061003,0,0,0
160,10,"R102","R101","2","0.5","マルバアオダモ",40.9,"R101、102同株","06_R102",20061003,0,0,0
160,10,"R103","R103","4","3","オオバクロモジ",15.7,NA,"06_R103",20061003,0,0,0
160,10,"R104","R104","4","7","マルバアオダモ",65.9,NA,"06_R104",20061003,0,0,0
160,10,"R105","R105","6","8","スギ",238.4,NA,"06_R105",20061003,0,0,0
160,10,"R106","R106","7","9","スギ",245.9,NA,"06_R106",20061003,0,0,0
160,10,"R107","R107","10","9.5","アカイタヤ",57.2,NA,"06_R107",20061003,0,0,0
160,10,"R112","R112","1","0","マルバアオダモ",42.5,NA,"06_R112",20061003,0,0,0
170,10,"R135","R135","1","0","ミズキ",22.2,"R135、136同株","06_R135",20061003,0,0,0
170,10,"R136","R135","1","0","ミズキ",19.9,"R135、136同株","06_R136",20061003,0,0,0
170,10,"R140","R140","9.5","0.5","ハクウンボク",16.9,NA,"06_R140",20061003,0,0,0
170,10,"R141","R141","5","8","ツリバナ",26.3,NA,"06_R141",20061003,0,0,0
170,10,"R142","R142","6","9","アカイタヤ",18.9,NA,"06_R142",20061003,0,0,0
170,10,"R143","R143","7","9","マルバアオダモ",16.2,NA,"06_R143",20061003,0,0,0
170,10,"R144","R144","8","7",NA,21.8,"Ｒ144-146同株　クリ?  シウリ？","06_R144",20061003,0,0,0
170,10,"R145","R144","8","7",NA,15.1,"Ｒ144-146同株　クリ?  シウリ？","06_R145",20061003,0,-1,0
170,10,"R146","R144","8","7",NA,18.8,"Ｒ144-146同株　クリ?  シウリ？","06_R146",20061003,0,0,0
180,10,"R147","R147","10","7","ウワミズザクラ",28,"Ｒ147，148同株","06_R147",20061003,0,0,0
180,10,"R148","R147","10","7","ウワミズザクラ",23.6,"Ｒ147，148同株","06_R148",20061003,0,0,0
180,10,"R149","R149","1","2","ハクウンボク",18.9,NA,"06_R149",20061003,0,0,0
180,10,"R181","R181","3","9","ヌルデ",18.2,NA,"06_R181",20061003,0,0,0
180,10,"R182","R182","4","10","ヌルデ",36.1,NA,"06_R182",20061003,0,0,0
180,10,"R183","R183","6","9",NA,17.3,"シウリザクラ？","06_R183",20061003,0,0,0
180,10,"R184","R184","6","10","オオバクロモジ",20.6,"二股の下で測る","06_R184",20061003,0,0,0
180,10,"R185","R185","8","9",NA,17.4,"シウリザクラ？","06_R185",20061003,0,0,0
180,10,"R186","R186","9","9","クサギ",20.9,NA,"06_R186",20061003,0,0,0
180,10,"R187","R187","8","7",NA,23,"シウリザクラ？","06_R187",20061003,0,0,0
180,10,"R188","R188","8","5.5",NA,22.9,"シウリザクラ？","06_R188",20061003,0,0,0
180,10,"R189","R189","7","5.5",NA,NA,"根返り　枯れ23.8クサギ?","06_R189",20061003,1,-1,0
180,10,"R190","R190","4","8.5",NA,17.6,"シウリザクラ？","06_R190",20061003,0,0,0
180,10,"R191","R191","6","3",NA,19.4,"191、192同株　根本幹割れシウリザクラ？","06_R191",20061003,0,0,0
180,10,"R192","R191","6.5","3",NA,16.6,"191、192同株シウリザクラ？","06_R192",20061003,0,0,0
180,10,"R193","R193","7","0","クサギ",NA,"枯れ32.4","06_R193",20061003,1,-1,0
190,10,"R194","R194","2","0",NA,17.1,"シウリザクラ？","06_R194",20061003,0,0,0
190,10,"R195","R195","3","0",NA,24.5,"シウリザクラ？","06_R195",20061003,0,0,0
190,10,"R196","R196","6","0",NA,21.2,"シウリザクラ？","06_R196",20061003,0,0,0
190,10,"R197","R197","10.5","1","スギ",341.2,"枠外","06_R197",20061003,0,0,0
190,10,"R198","R198","9.5","2","コシアブラ",16.1,NA,"06_R198",20061003,0,0,0
190,10,"R199","R199","4","4",NA,31.5,"シウリザクラ？","06_R199",20061003,0,0,0
190,10,"R200","R200","8.5","9","スギ",241,NA,"06_R200",20061003,0,0,0
190,10,"R201","R201","7","9.5","サワグルミ",86.6,NA,"06_R201",20061003,0,0,0
0,20,"B183","B183","4","8","スギ",339.6,NA,"06_B183",20061003,0,0,0
0,20,"B184","B184","3","5","スギ",232.8,"切り株更新だったか？","06_B184",20061003,0,0,0
0,20,"B185","B185","4.5","1","スギ",348.3,"切り株更新だったか？Ｐ147","06_B185",20061003,0,0,0
10,20,"B178","B178","6","4",NA,20.7,"178、179同株ノリウツギ？","06_B178",20061003,0,0,0
10,20,"B179","B178","6","4",NA,26.7,"178、179同株ノリウツギ？","06_B179",20061003,0,0,0
10,20,"B180","B180","4","5","ノリウツギ",20.9,NA,"06_B180",20061003,0,0,0
10,20,"B181","B181","3","7","コシアブラ",38.5,NA,"06_B181",20061003,0,0,0
10,20,"B182","B182","1","6","スギ",326.8,NA,"06_B182",20061003,0,0,0
20,20,"B174","B174","6","4","カツラ",140.4,NA,"06_B174",20061003,0,0,0
20,20,"B175","B175","5","5.5","スギ",171.9,NA,"06_B175",20061003,0,0,0
20,20,"B176","B176","2.5","7","ノリウツギ",17.7,NA,"06_B176",20061003,0,0,0
20,20,"B177","B177","1","2","ノリウツギ",20.7,"スギ切り株上","06_B177",20061003,0,0,0
30,20,"B173","B173","6","8","アカイタヤ",34.3,NA,"06_B173",20061003,0,0,0
40,20,"B165","B165","7.5","7.5","トチノキ",17.1,NA,"06_B165",20061003,0,0,0
40,20,"B166","B166","6","7","トチノキ",21.2,NA,"06_B166",20061003,0,0,0
40,20,"B167","B167","5","8","トチノキ",23.4,NA,"06_B167",20061003,0,0,0
40,20,"B168","B168","4","7.5","アカイタヤ",23.4,NA,"06_B168",20061003,0,0,0
40,20,"B169","B169","7","3","トチノキ",22.5,NA,"06_B169",20061003,0,0,0
40,20,"B170","B170","5.5","3",NA,33.2,"イイギリ？","06_B170",20061003,0,0,0
40,20,"B171","B171","6","1","スギ",325.6,"GBHおかしい。確認せよ。2002年測定ミスか？","02_P140",20061003,0,0,0
40,20,"B172","B172","1","5","サワグルミ",15.9,NA,"06_B172",20061003,0,0,0
50,20,"B162","B162","3","1","スギ",272,NA,"06_B162",20061003,0,0,0
50,20,"B163","B163","1","4","スギ",271.4,NA,"06_B163",20061003,0,0,0
50,20,"B164","B164","0","8","スギ",162,NA,"06_B164",20061003,0,0,0
50,20,"B161","P131","6","1","スギ",180.7,"南側","02_P131",20061003,0,0,0
60,20,"B155","B155","2.5","3","スギ",312.1,NA,"06_B155",20061003,0,0,0
60,20,"B156","B156","0.5","0.5","トチノキ",16.5,NA,"06_B156",20061003,0,0,0
60,20,"B158","B158","9","9.5","トチノキ",72,NA,"06_B158",20061003,0,0,0
60,20,"B159","B159","8","9.5","スギ",304,NA,"06_B159",20061003,0,0,0
60,20,"B160","B160","0.5","10","スギ",272.3,NA,"06_B160",20061003,0,0,0
60,20,"B157","P132","9","0.5","スギ",239.8,"南側","02_P132",20061003,0,0,0
70,20,NA,"21 ","10","6.5","ミズキ",NA,NA,"80_21",20061003,1,-1,0
70,20,"B2","Y149","9.5","7","コミネカエデ",NA,"14","04_Y149",20061003,2,0,0
70,20,"B1","Y17","5","9","スギ",348,"Ｗ2959割れ","00_Y17",20061003,0,0,0
80,20,NA,"58 ","0.6","1.9","スギ",NA,NA,"80_58",20061003,1,-1,0
80,20,NA,"60 ","8.8","5","トチノキ",NA,NA,"80_60",20061003,1,-1,0
80,20,"B20","Y129","7","2","ウワミズザクラ",17.5,NA,"04_Y129",20061003,0,0,0
80,20,"B21","Y130","0.5","8","ミズキ",19.8,NA,"04_Y130",20061003,0,0,0
80,20,"B22","Y131","0.5","9","コミネカエデ",16.9,NA,"04_Y131",20061003,0,0,0
80,20,"B26","Y132","7","3","トチノキ",16.8,NA,"04_Y132",20061003,0,0,0
80,20,"B23","Y18","1","9.5","スギ",329.9,"ペンキ後でつけて","00_Y18",20061003,0,0,0
80,20,"B24","Y19","6","10","ノリウツギ",18.3,NA,"00_Y19",20061003,0,0,0
80,20,"B25","Y20","7","8","ノリウツギ",NA,"13.2","00_Y20",20061003,2,0,0
90,20,"B27","Y118","9.5","9","サワグルミ",NA,"13.5Ｎ20-2の杭Ｃ2から315°方向に3.3m","04_Y118",20061003,2,0,0
90,20,"B37","Y135","1","9","ノリウツギ",NA,"12.9","04_Y135",20061003,2,0,0
90,20,"B33","Y136","5","6","サワグルミ",16.7,NA,"04_Y136",20061003,0,0,0
90,20,"B34","Y139","10","2","サワグルミ",NA,"14.8","04_Y139",20061003,2,0,0
90,20,"B30","Y21","7.5","3","スギ",318.6,NA,"00_Y21",20061003,0,0,0
90,20,"B32","Y22","8","8","ノリウツギ",17.7,NA,"00_Y22",20061003,0,0,0
90,20,"B31","Y23","7.5","6","サワグルミ",18.4,NA,"00_Y23",20061003,0,0,0
90,20,"B28","Y24","7.5","0.5","ウワミズザクラ",23.5,NA,"00_Y24",20061003,0,0,0
90,20,"B35","Y35.1","8","10","ウワミズザクラ",23.6,"ラベルおちＹ137","00_Y35",20061003,0,0,0
90,20,"B29","Y37","7","3","サワグルミ",15.8,NA,"00_Y37",20061003,0,0,0
100,20,NA,"34 ","4.1","8.3","スギ",NA,NA,"80_34",20061003,1,-1,0
100,20,NA,"35 ","0.4","8.6","トチノキ",NA,"プロットD:3改め","80_35",20061003,1,-1,0
100,20,"B49","Y140","1","5","ホオノキ",18.7,NA,"04_Y140",20061003,0,0,0
100,20,"B48","Y141","0.5","6","サワグルミ",16.6,NA,"04_Y141",20061003,0,0,0
100,20,"B51","Y26","3","2","トチノキ",27.3,"Ｂ50とＢ51同株","00_Y26",20061003,0,0,0
100,20,"B50","Y26","3","2","トチノキ",16.5,"Ｂ50とＢ51同株","04_Y142",20061003,0,0,0
110,20,"B65","B65","8","5","アワブキ",18.3,"B56 Y297と同じ","06_B65",20061003,0,0,0
110,20,"B66","B66","5","5","スギ",402.7,"旧タグ（白）見つからず","06_B66",20061003,0,0,0
110,20,"B67","B67","3","7","トチノキ",28.8,NA,"06_B67",20061003,0,0,0
110,20,"B68","B68","4","3","ホオノキ",15.7,NA,"06_B68",20061003,0,0,0
110,20,"B69","B69","3","2","ハクウンボク",15.6,NA,"06_B69",20061003,0,-1,0
110,20,"B70","B70","0.5","5","ウワミズザクラ",NA,"13.9","06_B70",20061003,2,0,0
120,20,"B71","B71","4","3.5","ハウチワカエデ",26.6,"野帳ではハウチワザクラ","06_B71",20061003,0,0,0
120,20,"B72","B72","6","2.5","タラノキ",16.2,NA,"06_B72",20061003,0,0,0
120,20,"B73","B73","6","5","ホオノキ",28.1,NA,"06_B73",20061003,0,0,0
130,20,"B201","B201","1","0.5","スギ",154.6,NA,"06_B201",20061003,0,0,0
130,20,"B203","B203","0","7","トチノキ",19.9,NA,"06_B203",20061003,0,0,0
130,20,"B204","B204","0","8","ホオノキ",33,NA,"06_B204",20061003,0,0,0
130,20,"B205","B205","1","10","トチノキ",17.4,NA,"06_B205",20061003,0,0,0
130,20,"B206","B206","3","10","ヤマグワ",16.9,NA,"06_B206",20061003,0,0,0
130,20,"B207","B207","6","6","トチノキ",99.5,NA,"06_B207",20061003,0,0,0
130,20,"B202","P104","5","0.5","スギ",272.7,"精英樹113号（能代）　Ｐ878改め（列変更）","02_P104",20061003,0,0,0
140,20,"B209","B209","0","2.9","アワブキ",18.5,"209,210,211同株","06_B209",20061003,0,0,0
140,20,"B210","B209","0","3","アワブキ",30.7,"209,210,211同株","06_B210",20061003,0,0,0
140,20,"B211","B209","0","3.1","アワブキ",18.5,"209,210,211同株","06_B211",20061003,0,0,0
140,20,"B212","B212","5.5","1.5","スギ",183.2,"南側斜面","06_B212",20061003,0,0,0
140,20,"B213","B213","6","4","ノリウツギ",21.7,"南側斜面","06_B213",20061003,0,0,0
140,20,"B214","B214","6","3","ノリウツギ",18.5,"南側斜面","06_B214",20061003,0,0,0
140,20,"B215","B215","4","5.5","コミネカエデ",58.4,"南側斜面　215,216同株","06_B215",20061003,0,0,0
140,20,"B216","B215","3.8","5.5","コミネカエデ",29.8,"南側斜面　215,216同株","06_B216",20061003,0,0,0
140,20,"B217","B217","3","6","スギ",182,"南側斜面","06_B217",20061003,0,0,0
140,20,"B218","B218","1","9","ハウチワカエデ",19.2,"南側斜面","06_B218",20061003,0,0,0
140,20,"B219","B219","7","7.5",NA,NA,"枯れ（古い）　尾根上16.9クサギ?","06_B219",20061003,1,-1,0
140,20,"B220","B220","8","6","ハクウンボク",21.8,"尾根上","06_B220",20061003,0,0,0
140,20,"B221","B221","10","7.5","ハクウンボク",41.4,"尾根上","06_B221",20061003,0,0,0
140,20,"B208","P106","2","0.5","スギ",227,"P902改め（列変更）","02_P106",20061003,0,0,0
150,20,"B222","B222","4","1","オオバクロモジ",18.3,"尾根上","06_B222",20061003,0,0,0
150,20,"B223","B223","6","1","ホオノキ",38.9,"北側斜面","06_B223",20061003,0,0,0
150,20,"B224","B224","8","3","ウワミズザクラ",16.3,"北側斜面","06_B224",20061003,0,0,0
160,20,"B225","B225","2","9","ハクウンボク",28.9,NA,"06_B225",20061003,0,0,0
160,20,"B226","B226","2","8","シウリザクラ",16.6,NA,"06_B226",20061003,0,0,0
160,20,"B227","B227","1.5","7.5","シウリザクラ",25.9,NA,"06_B227",20061003,0,0,0
160,20,"B228","B228","5","1","シウリザクラ",16.8,NA,"06_B228",20061003,0,0,0
160,20,"B229-1","B229","3","2","コミネカエデ",19.6,"ペンキで赤点つけた　二股・同株","06_B229",20061003,0,0,0
160,20,"B229-2","B229","3","2","コミネカエデ",18.8,"ペンキで赤点つけた　二股・同株","06_B229",20061003,0,0,0
160,20,"B230","B230","5","1","スギ",216,"よくしごいて測れ　ペンキ左右の間","06_B230",20061003,0,0,0
160,20,"B231","B231","8","2","コシアブラ",45.7,NA,"06_B231",20061003,0,0,0
160,20,"B232","B232","8","3","スギ",273.9,"旧札不明","06_B232",20061003,0,0,0
160,20,"B233","B233","7","5","アワブキ",25.8,"233,234同株","06_B233",20061003,0,0,0
160,20,"B234","B233","7","5.1","アワブキ",29,"233,234同株","06_B234",20061003,0,0,0
170,20,"B235","B235","4","2","アオダモ",55.5,"幹割れ修復","06_B235",20061003,0,0,0
170,20,"B236","B236","7","3",NA,NA,"古い枯れ22.3","06_B236",20061003,1,-1,0
170,20,"B237","B237","2.5","6","クサギ",15.7,"枝枯れ","06_B237",20061003,0,0,0
170,20,"B238","B238","2.5","7","ホオノキ",26.8,NA,"06_B238",20061003,0,0,0
170,20,"B239","B239","3","7.3","シウリザクラ",19.1,"239，240同株","06_B239",20061003,0,0,0
170,20,"B240","B239","3","7.5","シウリザクラ",23.7,"239，240同株","06_B240",20061003,0,0,0
170,20,"B241","B241","4","8","シウリザクラ",25.6,"241，242同株","06_B241",20061003,0,0,0
170,20,"B242","B241","4.1","8","シウリザクラ",24.7,"241，242同株","06_B242",20061003,0,0,0
170,20,"B243","B243","7.5","8","トチノキ",35.1,NA,"06_B243",20061003,0,0,0
170,20,"B244","B244","7","6","サワグルミ",36.4,NA,"06_B244",20061003,0,0,0
170,20,"B245","B245","9","7.5","シウリザクラ",22.6,NA,"06_B245",20061003,0,0,0
170,20,"B246","B246","9.5","9.5","シウリザクラ",21.9,NA,"06_B246",20061003,0,0,0
170,20,"B247","B247","9","1","シウリザクラ",15.5,NA,"06_B247",20061003,0,-1,0
170,20,"B248","B248","8","0","ホオノキ",25.4,NA,"06_B248",20061003,0,0,0
180,20,"B249","B249","0","3","シウリザクラ",21.9,NA,"06_B249",20061003,0,0,0
180,20,"B250","B250","1","3","ハクウンボク",32.9,"250,251同株","06_B250",20061003,0,0,0
180,20,"B251","B250","1","3.1","ハクウンボク",28.1,"250,251同株","06_B251",20061003,0,0,0
180,20,"B252","B252","3","2","シウリザクラ",27.8,"252,253同株","06_B252",20061003,0,0,0
180,20,"B253","B252","3.1","2","シウリザクラ",21.2,"252,253同株","06_B253",20061003,0,0,0
180,20,"B254","B254","4","2","シウリザクラ",23.6,"254,255同株","06_B254",20061003,0,0,0
180,20,"B255","B254","4","2.1","シウリザクラ",15.4,"254,255同株","06_B255",20061003,0,-1,0
180,20,"B256","B256","4.5","0","シウリザクラ",17.5,NA,"06_B256",20061003,0,0,0
180,20,"B257","B257","4.5","3","シウリザクラ",17.2,"257,258同株","06_B257",20061003,0,0,0
180,20,"B258","B257","4.4","3.1","シウリザクラ",25.4,"257,258同株","06_B258",20061003,0,0,0
180,20,"B259","B259","8","4.5","サワグルミ",31.1,"谷底","06_B259",20061003,0,0,0
180,20,"B260","B260","9","5","サワグルミ",20.5,"谷底","06_B260",20061003,0,0,0
180,20,"B261","B261","8","6","サワグルミ",62.7,"谷底","06_B261",20061003,0,0,0
180,20,"B262","B262","7","9","シウリザクラ",17,"谷底","06_B262",20061003,0,0,0
180,20,"B263","B263","4","8",NA,NA,"263,264同株　枯れ　谷底 25.5クサギ?","06_B263",20061003,1,-1,0
180,20,"B264","B263","4","8",NA,NA,"263,264同株　枯れ　谷底15.6クサギ?","06_B264",20061003,1,-1,0
180,20,"B265","B265","9","10",NA,NA,"枯れ　値はつる込み　谷底34.4クサギ?","06_B265",20061003,1,-1,0
180,20,"B266","B266","9","2","サワグルミ",25.8,"谷底","06_B266",20061003,0,0,0
180,20,"B267","B267","9","1","サワグルミ",50.9,"谷底","06_B267",20061003,0,0,0
190,20,"B268","B268","6","1","スギ",274,NA,"06_B268",20061003,0,0,0
190,20,"B269","B269","8","7","クサギ",17.5,NA,"06_B269",20061003,0,0,0
190,20,"B270","B270","9","8","サワグルミ",19.5,"270，271同株","06_B270",20061003,0,0,0
190,20,"B271","B270","9","8.1","サワグルミ",19,"270，271同株","06_B271",20061003,0,0,0
190,20,"B272","B272","9","9","サワグルミ",18.7,NA,"06_B272",20061003,0,0,0
190,20,"B273","B273","9","9.2","サワグルミ",19.4,"272とは別の株と思われる","06_B273",20061003,0,0,0
190,20,"B274","B274","8","0.5","サワグルミ",34.5,NA,"06_B274",20061003,0,0,0
0,30,"B298","B298","9","8.5",NA,63.3,"naミズナラ？","06_B298",20061003,0,0,0
0,30,"B299","B299","6","7","スギ",204.7,NA,"06_B299",20061003,0,0,0
0,30,"B300","B300","0.5","4",NA,28,"ハクウンボク？","06_B300",20061003,0,0,0
10,30,"B292","B292","5","3","スギ",232.2,NA,"06_B292",20061003,0,0,0
10,30,"B293","B293","5","7","スギ",90.7,NA,"06_B293",20061003,0,0,0
10,30,"B294","B294","6","7","スギ",315.7,NA,"06_B294",20061003,0,0,0
10,30,"B295","B295","0","4","キブシ",18.4,NA,"06_B295",20061003,0,0,0
10,30,"B296","B296","0","3","スギ",225.5,NA,"06_B296",20061003,0,0,0
20,30,"B288","B288","8.5","4","トチノキ",124.1,"D:-4とE:-4 測定対象なし","06_B288",20061003,0,0,0
20,30,"B289","B289","5","0","トチノキ",20,NA,"06_B289",20061003,0,0,0
20,30,"B290","B290","1","2","ノリウツギ",22,NA,"06_B290",20061003,0,0,0
20,30,"B291","B291","1","1.5",NA,22.5,"ヤマモミジ？","06_B291",20061003,0,0,0
30,30,NA,NA,NA,NA,NA,NA,"D:-4とE:-4 測定対象なし",NA,20061003,2,0,0
40,30,"B198","B198","9.5","9",NA,17.3,"添伸","06_B198",20061003,0,0,0
40,30,"B199","B199","7","9",NA,15.8,"添伸","06_B199",20061003,0,0,0
40,30,"B200","B200","5","6","スギ",174.7,NA,"06_B200",20061003,0,0,0
40,30,"B285","B285","5","5.5","トチノキ",18.3,NA,"06_B285",20061003,0,0,0
40,30,"B286","B286","4","3","スギ",284.4,"W無し","06_B286",20061003,0,0,0
40,30,"B287","B287","5","0.5","キブシ",15.1,NA,"06_B287",20061003,0,-1,0
50,30,"B191","B191","8.5","2",NA,22.8,"191,192同株エゴノキ？","06_B191",20061003,0,0,0
50,30,"B192","B191","8","2",NA,19,"191,192同株エゴノキ？","06_B192",20061003,0,0,0
50,30,"B193","B193","7","4","スギ",291.6,NA,"06_B193",20061003,0,0,0
50,30,"B194","B194","3","8","スギ",309.5,NA,"06_B194",20061003,0,0,0
50,30,"B195","B195","3","9","スギ",328.3,NA,"06_B195",20061003,0,0,0
50,30,"B196","B196","3","4","トチノキ",28.2,NA,"06_B196",20061003,0,0,0
50,30,"B197","B197","2","7","トチノキ",20.9,NA,"06_B197",20061003,0,0,0
60,30,"B186","B186","3","3","スギ",202.4,NA,"06_B186",20061003,0,0,0
60,30,"B187","B187","3","4",NA,31.3,"ハクウンボク？","06_B187",20061003,0,0,0
60,30,"B188","B188","2.5","4",NA,22.1,"ハクウンボク？","06_B188",20061003,0,0,0
60,30,"B189","B189","8","7","スギ",268.1,NA,"06_B189",20061003,0,0,0
60,30,"B190","B190","7","8",NA,16.1,"対生、ノリウツギ？","06_B190",20061003,0,0,0
70,30,"B8","Y150","2","9.5","ミズキ",15.6,NA,"04_Y150",20061003,0,-1,0
70,30,"B7","Y45","7","8","スギ",221.2,"ペンキ後でつけて","00_Y45",20061003,0,0,0
70,30,"B6","Y46","9","10","ノリウツギ",21.7,NA,"00_Y46",20061003,0,0,0
70,30,"B5","Y47","4","5.5","スギ",225.8,NA,"00_Y47",20061003,0,0,0
70,30,"B3","Y48","2","6","スギ",260.8,NA,"00_Y48",20061003,0,0,0
70,30,"B4","Y49","2.5","6.5","ツルアジサイ",18.2,NA,"00_Y49",20061003,0,0,0
80,30,NA,"23 ","0.2","2.9","ハクウンボク",NA,NA,"80_23",20061003,1,-1,0
80,30,"B16","Y148","1","5","ハクウンボク",38.8,NA,"04_Y148",20061003,0,0,0
80,30,"B13","Y34","6.5","4.5","ノリウツギ",16.3,NA,"00_Y34",20061003,0,0,0
80,30,"B14","Y35","6.5","3.5","スギ",204.7,NA,"00_Y35",20061003,0,0,0
80,30,"B15","Y38","4","0","スギ",309.8,NA,"00_Y38",20061003,0,0,0
80,30,"B11","Y39","2","4","スギ",241.8,NA,"00_Y39",20061003,0,0,0
80,30,"B12","Y39","2.5","4.5","スギ",218.2,NA,"00_Y40",20061003,0,0,0
80,30,"B18","Y41","6.5","10","エゴノキ",23.8,"倒伏","00_Y41",20061003,0,0,0
80,30,"B17","Y42","6","10","エゴノキ",31.3,NA,"00_Y42",20061003,0,0,0
