#/log,DATA CREATED,データ作成日,20070801,,,,,,,
#/doc,DATA CREATER,データ作成者,蒔田明史,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nibuna-mizusawa （NB-EC1).,,,,,,,
#,SITE NAME,サイト名,仁鮒水沢(スギ保護林),,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,
#,PLOT CODE,調査区コード,NB-EC1,,,,,,,
#,PLOT SIZE,面積,1ha,50x200ｍ,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,
#,,spc_japan,種名,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,
#,,note,備考,,,,,,,
#,,s_data,調査日,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,
#/log,20071126,Data of 2006 was arranged.,,,,,,,,
#,,,,,,,,,,
#,20090916,tag_no=288が二個体あったため、サワグルミを288.1し、個体番号も変更,,,,,,,,
#,,indv_no=Y35が樹種、場所が異なるため、tag_no=B35のindv_no=Y35.1とした,,,,,,,,
#,,note06.1にref-IDを入力、樹種同定不確かなものはnaにした,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord has been changed to Moni1000 format.",,,,,,,,
#,20101116,"tag=R147,148,149,R110重複。同一幹の可能性あり。-> 片方の行頭に#をつけた",,,,,,,,
#,,tag=B229は同一株内で重複-> -1 -2をつけた,,,,,,,,
#,20110107,イタヤカエデ->アカイタヤ,,,,,,,,
#/data,,,,,,,,,,
#70,0,R110,Y101,0,9,ハクウンボク,25.9 ,xはＮＳ方向,02_P549,20061003
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","note06","note06.1","s_date06","dl06","rec06","error06"
100,0,"P537-2","Y104","0","1","ウワミズザクラ",16.2,"同株 北側","04_P537-2",20061003,0,0,0
100,0,"P874","Y105","4","1","エゴノキ",NA,"14.4","04_Y105",20061003,2,0,0
100,0,"P534","Y106","8","0","サワグルミ",17.9,NA,"02_P534",20061003,0,0,0
100,0,"P535","Y107","8","1","サワグルミ",NA,"14.1Ｙラベル割れ　なし","02_P535",20061003,2,0,0
100,0,"P536","Y108","10","1","サワグルミ",NA,"14.9","02_P536",20061003,2,0,0
100,0,"P533","Y108","9.5","1","サワグルミ",16.6,NA,"02_P533",20061003,0,0,0
100,0,"P532","Y110","10","2","サワグルミ",19.8,NA,"02_P532",20061003,0,0,0
100,0,"P861","Y111","9","2","ウワミズザクラ",NA,"13.9","04_Y111",20061003,2,0,0
100,0,"P531","Y112","9.5","3.5","クサギ",NA,"枯れ12.3","02_P531",20061003,1,-1,0
100,0,"P530","Y112","9","4","クサギ",NA,"枯れ16.9","02_P530",20061003,1,-1,0
100,0,"P529","Y112","8.5","4","クサギ",17.4,NA,"02_P529",20061003,0,0,0
100,0,"P528","Y115","8","3","ヤマグワ",24.1,NA,"02_P528",20061003,0,0,0
100,0,"P860","Y116","9","9","イイギリ",34.9,"生枝多数　　　　　　　　　　　　　　　完全に倒れる　イキ","02_P860",20061003,0,0,0
110,0,"P116","P116","1.0 ","3.0 ","スギ",361,NA,"02_P116",20061003,0,0,0
110,0,"P526","P526","2.0 ","4.0 ","クサギ",NA,"枯れ GBH29.6","02_P526",20061003,1,-1,0
110,0,"P875","P875","1.0 ","2.5 ","タラノキ",16.1,"新規","06_P875",20061003,0,0,0
120,0,"P901","P114","1.0 ","9.5 ","スギ",255.7,"ペンキなし","02_P114",20061003,0,0,0
120,0,"P900","P115","6.0 ","4.0 ","スギ",137.7,NA,"02_P115",20061003,0,0,0
120,0,"P505","P505","9.0 ","9.5 ","ヤマモミジ",72.5,"ツル抜き","02_P505",20061003,0,0,0
120,0,"P520","P520","8.0 ","5.0 ","アワブキ",30.5,NA,"02_P520",20061003,0,0,0
120,0,"P898","P520","8.0 ","5.0 ","アワブキ",18.2,"新規　P520と同株","06_P898",20061003,0,0,0
120,0,"P899","P520","8.0 ","5.0 ","アワブキ",16.2,"新規　P520と同株","06_P899",20061003,0,0,0
120,0,"P524","P524","1.0 ","9.0 ","マルバアオダモ",NA,"2分岐　0.8mH　E側34.3　W側37.8　どちらもツル込み","02_P524",20061003,2,0,0
120,0,"P525","P525","1.0 ","9.0 ","マルバアオダモ",17.8,NA,"02_P525",20061003,0,0,0
130,0,"P895","P108","5.0 ","4.0 ","スギ",325.5,"ペンキなし","02_P108",20061003,0,0,0
130,0,"P501","P501","3.0 ","3.0 ",NA,36.2,"オオヤマザクラ？","02_P501",20061003,0,0,0
130,0,"P502","P502","4.5 ","6.0 ","マルバアオダモ",19.5,NA,"02_P502",20061003,0,0,0
130,0,"P503","P503","4.0 ","9.5 ","アカイタヤ",51.9,"ツル抜き","02_P503",20061003,0,0,0
130,0,"P504","P504","2.0 ","9.5 ","ブナ",63.3,NA,"02_P504",20061003,0,0,0
130,0,"P896","P896","5.0 ","1.0 ","アワブキ",20.9,"新規　P896，897同株","06_P896",20061003,0,0,0
130,0,"P897","P896","5.0 ","1.0 ","アワブキ",22.5,"新規　P896，897同株","06_P897",20061003,0,0,0
140,0,"P894","P109","1.0 ","1.0 ","スギ",253.8,NA,"02_P109",20061003,0,0,0
140,0,"P883","P110","5.0 ","7.0 ","スギ",286.6,"ペンキなし","02_P110",20061003,0,0,0
140,0,"P890","P111","17.3 ","18.2 ","スギ",268.8,NA,"02_P111",20061003,0,0,0
140,0,"P512","P512","6.0 ","9.0 ","ホオノキ",21.8,"ツル抜き","02_P512",20061003,0,0,0
140,0,"P881","P512","6.0 ","9.0 ","ホオノキ",18.9,"新規　P512と同株","06_P881",20061003,0,0,0
140,0,"P882","P512","6.0 ","9.0 ","ホオノキ",16.6,"新規　P512と同株 　ツル巻き込み　ツルの無い所で測定","06_P882",20061003,0,0,0
140,0,"P513","P513","2.0 ","9.0 ","サンショウ",21.9,NA,"02_P513",20061003,0,0,0
140,0,"P515","P515","2.0 ","3.0 ","ミズキ",35.2,NA,"02_P515",20061003,0,0,0
140,0,"P516","P516","2.5 ","3.0 ","ミズキ",NA,"14.7","02_P516",20061003,2,0,0
140,0,"P517","P517","2.3 ","3.0 ","ミズキ",25.5,NA,"02_P517",20061003,0,0,0
140,0,"P518","P518","4.0 ","2.0 ","アカイタヤ",24.1,NA,"02_P518",20061003,0,0,0
140,0,"P888","P888","7.0 ","7.0 ","マルバアオダモ",17.1,"新規","06_P888",20061003,0,0,0
140,0,"P889","P889","6.5 ","7.0 ","トチノキ",20.1,"新規","06_P889",20061003,0,0,0
140,0,"P891","P891","7.0 ","1.0 ","トチノキ",23.3,"新規","06_P891",20061003,0,0,0
140,0,"P892","P892","6.5 ","1.0 ","アワブキ",20.7,"新規","06_P892",20061003,0,0,0
140,0,"P893","P893","2.0 ","2.0 ","ハクウンボク",21,"新規","06_P893",20061003,0,0,0
150,0,"P903","P903","1.5","1.5","ウワミズザクラ",24.2,"P903,904同株","06_P903",20061003,0,0,0
150,0,"P904","P903","1.5","1.5","ウワミズザクラ",17.1,"P903,904同株","06_P904",20061003,0,0,0
150,0,"P905","P905","4","0.5","アカイタヤ",89.8,NA,"06_P905",20061003,0,0,0
150,0,"P906","P906","7","3","ハクウンボク",44,NA,"06_P906",20061003,0,0,0
150,0,"P907","P907","9","5","スギ",209,NA,"06_P907",20061003,0,0,0
150,0,"P908","P908","7","7","スギ",198,NA,"06_P908",20061003,0,0,0
