#/log,DATA CREATED,データ作成日,20180320 ,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,榎木　勉,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kasuya (KJ-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,糟屋(糟屋陣場),,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KJ-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,20120111,2011年データの追加,,,,,,,,,,,,,,,,
#,,A384 A529 B52 gbh測定間違いの可能性あり -> gbh06をndに,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,,2006年データのコマユミは全てツリバナに修正,,,,,,,,,,,,,,,,
#,,2008年にも測定を行なっており、新規個体のうち基準以下のサイズでも2008年の記録をもとにエラー扱いとしたものもある,,,,,,,,,,,,,,,,
#,20170803,データ確認（日野）,,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","新規タグ","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
10,0,"A19","A19",1,3,"イヌシデ",121.8,122.8,122.7,"","ツル込み，測定部位にテイカカズラ多数巻きつき","ツル抜計測",20060425,20111110,20161111,"2006_A19","2006_A19","",0,0,0,0,0,0,0,0,2
10,0,"A20","A20",2.7,0.6,"ヤブニッケイ",50.2,57.1,60.4,"","","",20060425,20111110,20161111,"2006_A20","2006_A20","",0,0,0,0,0,0,0,0,0
10,0,"A21","A21",4,1.3,"ノグルミ",90.3,93,94.6,"","","",20060425,20111110,20161111,"2006_A21","2006_A21","",0,0,0,0,0,0,0,0,0
10,0,"A22","A22",5,1.1,"ヤブツバキ",61.5,60.9,62,"","","",20060425,20111110,20161111,"2006_A22","2006_A22","",0,0,0,0,0,0,0,0,0
10,0,"C122","C122",7,5.3,"シキミ",86.4,87.5,86.4,"","ラベル落ち(元A23)","タグ付替(元B462)",20060425,20111110,20161111,"2006_A23","2006_A23","C122",0,0,0,0,0,0,0,0,0
10,0,"A24","A24",5.3,3.5,"タブノキ",122.1,125.7,125.7,"","","",20060425,20111110,20161111,"2006_A24","2006_A24","",0,0,0,0,0,0,0,0,0
10,0,"A25","A25",3.9,3.9,"ヤブツバキ",48.9,49.6,50,"","","",20060425,20111110,20161111,"2006_A25","2006_A25","",0,0,0,0,0,0,0,0,0
10,0,"A26","A26",0.8,6.1,"リュウキュウマメガキ",70.8,NA,70.8,"枯れ","","生存",20060425,20111110,20161111,"2006_A26","2006_A26","",0,0,0,0,0,0,0,1,0
10,0,"A28","A28",2.6,6.2,"ウラジロガシ",45,46.5,47.2,"","","",20060425,20111110,20161111,"2006_A28","2006_A28","",0,0,0,0,0,0,0,0,0
10,0,"B574","B574",0.2,9.9,"ヤブツバキ",44.8,47.7,49,"","ラベル付け替え(元A29），B574と同株","",20060425,20111110,20161111,"2006_A29","2006_A29","",0,0,0,0,0,0,0,0,0
10,0,"A30","B574",0.2,9.9,"ヤブツバキ",43,43.2,43.3,"","B574と同株（元個体タグA29）","",20060425,20111110,20161111,"2006_A30","2006_A29","",0,0,0,0,0,0,0,0,0
10,0,"B461","B574",0.2,9.9,"ヤブツバキ",34.5,34.6,34.8,"","ラベル落ち（元A31)，B574と同株（元個体タグA29）","",20060425,20111110,20161111,"2006_A31","2006_A29","",0,0,0,0,0,0,0,0,0
10,0,"A32","B574",0.2,9.9,"ヤブツバキ",35.9,37.4,38.6,"","B574と同株（元個体タグA29）","",20060425,20111110,20161111,"2006_A32","2006_A29","",0,0,0,0,0,0,0,0,0
10,0,"A33","A33",4.6,8.6,"ヤマボウシ",38.5,40.8,41.1,"","","",20060425,20111110,20161111,"2006_A33","2006_A33","",0,0,0,0,0,0,0,0,0
10,0,"C121","C121",8.8,8.6,"ヤブツバキ",32.4,35.9,37.7,"","","タグ付替(元A34)",20060425,20111110,20161111,"2006_A34","2006_A34","C121",0,0,0,0,0,0,0,0,0
