#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ontake-nigorigo (NG-EC1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,御岳濁河(亜高山帯常緑針葉樹林),,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,NG-EC1,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,2006,データ作成(西村尚之)2ha分,,,,,,,,,,,,,,
#,20080429,1ha分,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,
#,20101116,tag重複多数,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,
#,20110126,2010年度分データの差し替え（2005年分も）,,,,,,,,,,,,,,
#,,note05はデータなし（2005年データと対応させるのが困難なため、元データ参照）,,,,,,,,,,,,,,
#,,"tag_no=nYA795 重複　-1,-2をつけた（-2の方が番号の並びからすると怪しい）-->(50,20)の方がnYA695の間違い",,,,,,,,,,,,,,
#,20110217,西村さんより追加修正（タグNo、座標など）,,,,,,,,,,,,,,
#,20170608,データ確認（日野）,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,10,"aS_629","aS_629",4.6,1.1,"オオシラビソ",NA,NA,16.7,NA,NA,"nYB653をアルミタグに付け替え",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,10,"aS_628","aS_628",9.9,9.9,"オオシラビソ",NA,NA,15.5,NA,NA,NA,NA,NA,"20150930",NA,0,0,0,-1,-1,-1,0,0,0
0,20,"aS_137","nYA11",0.4,0.7,"ダケカンバ",124.9,127,130.1,NA,NA,NA,"20050913","20100831","20150930","nYA11",0,0,0,0,0,0,0,0,0
0,20,"aS_138","nYA10",4.3,1.7,"シラビソ",60.8,60.6,NA,NA,"測定誤差","立枯","20050913","20100831","20150930","nYA10",0,0,1,0,0,0,0,0,0
0,20,"aS_134","nYA495",7.7,2.8,"オオシラビソ",NA,17.1,20,NA,"新規加入",NA,NA,"20100831","20150930","nYA495",0,0,0,-1,1,0,0,0,0
0,20,"aS_136","nYA12",4,7.7,"オオシラビソ",71,74.8,77.1,NA,NA,NA,"20050913","20100831","20150930","nYA12",0,0,0,0,0,0,0,0,0
0,30,"aS_185","nYA13",3.6,0.9,"コメツガ",97.9,101,104.8,NA,NA,"生長よいを確認済","20050913","20100831","20150930","nYA13",0,0,0,0,0,0,0,0,0
0,30,"aS_181","nYA15",6.6,5.6,"ダケカンバ",146.8,149,154.3,NA,NA,"生長確認済，幹割れ","20050914","20100831","20150930","nYA15",0,0,0,0,0,0,0,0,0
0,30,"aS_187","nYA496",2.9,5.6,"オオシラビソ",NA,20.5,25.9,NA,"新規加入","生長よいを確認済",NA,"20100831","20150930","nYA496",0,0,0,-1,1,0,0,0,0
0,30,"aS_179","nYA16",7.9,7,"シラビソ",56.3,59.6,63.1,NA,NA,"生長よいを確認済","20050914","20100831","20150930","nYA16",0,0,0,0,0,0,0,0,0
0,30,"aS_186","nYA630",1.2,7.1,"オオシラビソ",NA,18.3,25.4,NA,"新規加入","生長よいを確認済",NA,"20100831","20150930","nYA630",0,0,0,-1,1,0,0,0,0
0,30,"aS_180","nYA17",8,7.3,"シラビソ",18,23,26,NA,NA,NA,"20050914","20100831","20150930","nYA17",0,0,0,0,0,0,0,0,0
0,30,"aS_182","aS_182",5.5,5.9,"オオシラビソ",NA,NA,16.8,NA,NA,"新規",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,30,"aS_183","aS_183",5,6.5,"オオシラビソ",NA,NA,19.6,NA,NA,"新規",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
