#/log,DATA CREATED,データ作成日,20140220,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,杉田久志,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at 御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,,別番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,20090325,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,,"1991,1998,2003年のデータあり",,,,,,,,,,,,,,,,
#,,1991年台風被害をnote91.1として入力,,,,,,,,,,,,,,,,
#,,"gbh1991,1998,2003--> note.gbh91, note.gbh98, note.gbh03",,,,,,,,,,,,,,,,
#,20091224,"Data censused in 1991, 1998, 2003 were excluded because Monitoring Sites 1000 started from 2004.",,,,,,,,,,,,,,,,
#,20101220,イタヤカエデは全てアカイタヤ（杉田さんより）。イタヤカエデ->アカイタヤ,,,,,,,,,,,,,,,,
#,20171211,公開用にデータの体裁整え（日野）,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","memo1","memo2","memo3","新No.","X","X.1","dl08","dl13","rec08","rec13","error08","error13"
40,20,551,"RG461",5,9.4,"ブナ",157,NA,"先折れ","→立枯れ157.7",20081112,20130926,"RG","E","",461,NA,NA,0,1,0,0,0,0
40,20,549,"RG481",1.1,3,"トチノキ",141.9,141.2,"","",20081112,20130926,"RG","E","",481,NA,NA,0,0,0,0,0,0
40,20,550,"RG481",1.5,3,"トチノキ",170.8,175.1,"","",20081112,20130926,"RG","E","WG532",482,NA,NA,0,0,0,0,0,0
50,20,545,"RG464",5.3,4.2,"ブナ",59.4,60.6,"","",20081112,20130926,"RG","E","",464,NA,NA,0,0,0,0,0,0
50,20,544,"RG465",9.7,6.9,"ブナ",191.1,196.5,"","",20081112,20130926,"RG","E","",465,NA,NA,0,0,0,0,0,0
50,20,545.1,"E545.1",5.9,1.2,"トチノキ",10.9,NA,"","→不明",20081112,20130926,"","E","青544　RA746",NA,NA,NA,0,1,-1,-1,0,0
60,20,542,"RG466",2.7,6,"トチノキ",435,436.5,"","",20081112,20130926,"RG","E","",466,NA,NA,0,0,0,0,0,0
60,20,543,"RG467",4,8,"オオバボダイジュ",24.5,24.5,"","",20081112,20130926,"RG","E","WG530",467,NA,NA,0,0,0,0,0,0
60,20,542.1,"RG492",2.5,1.7,"ブナ",9.2,10.1,"","",20081112,20130926,"RG","E","RD386 RA745",492,NA,NA,0,0,-1,-1,0,0
80,20,535,"RG497",8.7,5,"トチノキ",195.5,199.8,"","",20081112,20130926,"RG","E","",497,NA,NA,0,0,0,0,0,0
10,30,572,"RG442",8.3,8.9,"オオバボダイジュ",92.5,NA,"","→土石流で流され根返り95.5",20081112,20130926,"RG","E","",442,NA,NA,0,1,0,0,0,0
10,30,572.1,"RG442",8.1,8.1,"オオバボダイジュ",12.8,NA,"","→土石流不明",20081112,20130926,"RG","E","青133",446,NA,NA,0,1,-1,-1,0,0
10,30,569,"RG443",5.1,6.2,"ホオノキ",151.4,156.8,"ツル込み","ツルはずれ皮ハゲ",20081112,20130926,"RG","E","",443,NA,NA,0,0,0,0,0,0
