#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田 利博,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Chichibu (CC-DB3）.,,,,,,,,,
#,SITE NAME,サイト名,秩父,,,,,,,,,
#,PLOT NAME,調査区名,秩父18は1二次林,,,,,,,,,
#,PLOT CODE,調査区コード,CC-DB3,,,,,,,,,
#,PLOT SIZE,面積,0.1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,
#,変更履歴,20080712,データ成形（石原正恵）,,,,,,,,,
#,,1982年から5年毎に計測、そのデータは元データにある。モニ1000提供分ではないので、使用にはサイト代表者の許可を得ること,,,,,,,,,,
#,,2007年以前に死亡個体も含み、元データにある個体はすべて含まれている。,,,,,,,,,,
#,,2方向の直径を計測-->その平均値を3.14倍した,,,,,,,,,,
#,20091019,樹木の位置は今後計測,,,,,,,,,,
#,20110215,調査区名を「秩父18は2二次林」->「秩父18は1二次林」に変更,,,,,,,,,,
#,20121109,直径測定を輪尺から直径巻尺に変更-->直径巻尺による測定値を3.14倍した,,,,,,,,,,
#,20130107,データチェック（佐伯）,,,,,,,,,,
#,,tag_no 353 & 354 「癒着のため№253と№254をまとめて測定」とあるが、「癒着のため№353と№354をまとめて測定」の誤りと思われる。そのように修正し、データはndとする。,,,,,,,,,,
#,,tag_no 332 gbh07がd（枯死）であったが、gbh12に値が入っていたため、07は欠測値（nd）として扱う。,,,,,,,,,,
#,20171101,データチェック（日野）,,,,,,,,,,
#,,"tag.no=216 gbh12, 前年まで生存だが、当年はna→枯れのためdを入力",,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","note07","note12","s_date07","s_date12","dl07","dl12","rec07","rec12","error07","error12"
NA,NA,469,469,NA,NA,"ホソエカエデ",14.758,18.84,"/No.446の上","樹皮に傷有","20070928",20120905,0,0,-1,1,0,0
NA,NA,302,302,NA,NA,"リョウブ",14.915,17.27,"新NO427,460/","半枯れ・札なし","20070928",20120905,0,0,-1,1,0,0
NA,NA,452,452,NA,NA,"リョウブ",14.915,16.642,"NO300と株/",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,416,137,NA,NA,"イヌブナ",15.072,15.7,"NO137と株/",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,222,222,NA,NA,"ブナ",15.072,15.386,NA,NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,425,425,NA,NA,"ウリハダカエデ",15.072,18.84,"NO301の横/",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,454,454,NA,NA,"コミネカエデ",15.229,13.816,"NO367と横/",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,52,51,NA,NA,"リョウブ",15.386,16.328,NA,"半カレ","20070928",20120905,0,0,-1,1,0,0
NA,NA,434,434,NA,NA,"ハクウンボク",15.386,15.7,"NO365の横/",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,457,457,NA,NA,"オオモミジ",15.386,16.956,"NO456の左下/2007年よりNO451の代わりに樹高測定",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,460,302,NA,NA,"リョウブ",15.543,17.27,"NO302と株/",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,300,452,NA,NA,"リョウブ",15.7,NA,"新NO426,452/","カレ","20070928",20120905,0,1,0,0,0,0
NA,NA,455,455,NA,NA,"ヒナウチワカエデ",15.7,17.27,"NO450の横/",NA,"20070928",20120905,0,0,0,0,0,0
NA,NA,462,462,NA,NA,"コハウチワカエデ",15.7,17.898,"NO309の横/",NA,"20070928",20120905,0,0,0,0,0,0
NA,NA,104,104,NA,NA,"リョウブ",15.857,17.27,NA,NA,"20070928",20120905,0,0,0,0,0,0
NA,NA,372,372,NA,NA,"イヌブナ",15.857,16.642,NA,"№390の代替","20070928",20120905,0,0,0,0,0,0
NA,NA,390,390,NA,NA,"フサザクラ",15.857,NA,"新NO441-443/","カレのため樹高は№372","20070928",20120905,0,1,0,0,0,0
NA,NA,414,414,NA,NA,"ミズメ",16.171,16.956,"NO102の横/",NA,"20070928",20120905,0,0,0,0,0,0
NA,NA,205,206,NA,NA,"ミズメ",16.328,16.956,NA,NA,"20070928",20120905,0,0,0,0,0,0
