#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,大久保達弘,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Takaharayama (TK-DB1).,,,,,,,,,
#,SITE NAME,サイト名,高原山,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,
#,PLOT CODE,調査区コード,TK-DB1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#/note,20090420,データ成形（石原）,,,,,,,,,,
#,,胸高直径5cm以上を調査している,,,,,,,,,,
#,,tag_no=975-->979,,,,,,,,,,
#,20090511,アカヤシオツツジ-->アカヤシオ,,,,,,,,,,
#,,シロヤシオツツジ-->シロヤシオ,,,,,,,,,,
#,,tag_no=630のmesh_ycordが空欄だったが、30と推定されたので、代入,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","dl08","dl13","rec08","rec13","error08","error13"
0,30,38,38,3.2,1,"エゴノキ",21.5,33.9,NA,"",20080811,20130913,0,0,0,0,0,0
0,30,39,39,3.7,3.2,"コバノトネリコ",19.2,20.8,"測定位置2.00m","測定位置1.30取り直し",20080811,20130913,0,0,0,0,0,0
0,30,13717,39,1.4,3,"コバノトネリコ",NA,16.4,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,30,40,40,7,4.4,"ブナ",218,226.9,NA,"Tag落ち→13718",20080811,20130913,0,0,0,0,0,0
10,30,41,41,7.8,7.2,"サワシバ",146,148,"測定位置2.00m","測定位置2.00m",20080811,20130913,0,0,0,0,0,0
10,30,42,42,4.9,8.1,"サワシバ",81.7,86.2,NA,"",20080811,20130913,0,0,0,0,0,0
0,30,43,43,8,7.4,"サワシバ",54.3,58.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,44,44,0.5,0,"コバノトネリコ",17.1,19.3,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,45,45,0.2,4.3,"サンショウ",19.9,22.3,"測定位置1.40m","測定位置1.41m",20080811,20130913,0,0,0,0,0,0
0,40,47,47,8.2,3,"サワシバ",22.5,25.9,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,48,48,1.2,1,"カジカエデ",58.5,61.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,13719,48,1.2,1,"カジカエデ",NA,18.4,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,40,49,49,1.3,4.9,"サワシバ",31.7,40.3,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,50,50,2.9,4.7,"コバノトネリコ",22.7,30,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,51,51,7.3,4.6,"サワシバ",18.8,21.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,52,52,9.2,4.6,"サワシバ",28.7,37.7,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,54,54,9.2,5.7,"カジカエデ",17.5,19.5,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,55,55,8.2,5.6,"サワシバ",33.9,40.1,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,56,56,8.4,6.8,"サワシバ",53.8,61.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,57,57,6,7.1,"カジカエデ",23.6,30.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,40,58,58,9,8.8,"サワシバ",49,NA,NA,"立枯れ",20080811,20130913,0,1,0,0,0,0
10,40,59,59,0.6,7.8,"シラキ",55.6,61.2,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,60,60,8.9,6.5,"サワシバ",24.4,30.2,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,62,62,5.6,9.4,"サンショウ",18.8,NA,NA,"立枯れ",20080811,20130913,0,1,0,0,0,0
0,40,63,63,7.1,8.7,"サワシバ",15.8,23.2,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,64,64,8.5,8.7,"サンショウ",25.4,27.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,65,65,1.3,7.5,"シラキ",25.3,27.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,66,66,4.2,5.5,"サワシバ",23,29.5,"測定位置1.20m","測定位置1.20m",20080811,20130913,0,0,0,0,0,0
0,40,67,67,3.1,6,"サワシバ",21.3,27.1,NA,"",20080811,20130913,0,0,0,0,0,0
0,40,68,68,0.3,9,"シラキ",16,17.8,"測定位置1.20m","測定位置1.20m",20080811,20130913,0,0,0,0,0,0
0,40,69,69,0.8,9.8,"サワシバ",102.3,108.1,NA,"",20080811,20130913,0,0,0,0,0,0
0,50,71,71,3,1,"サワシバ",56.7,63.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,50,72,72,7.6,1.1,"ヤブデマリ",24,26.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,50,77,77,3.4,5,"マユミ",38.8,38.5,NA,"",20080811,20130913,0,0,0,0,0,0
10,50,78,77,3.4,5,"マユミ",33,36,NA,"",20080811,20130913,0,0,0,0,0,0
10,50,13720,13720,5,1.3,"コバノトネリコ",NA,17,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,50,73,73,5.8,4.5,"マユミ",84.9,92.4,NA,"",20080811,20130913,0,0,0,0,0,0
10,50,74,74,9.2,6.4,"クサギ",33,33.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,50,75,75,4,8.2,"ヤブデマリ",17.9,16.5,NA,"測定位置1.30取り直し",20080811,20130913,0,0,0,0,0,0
10,50,76,76,1.6,5.6,"サンショウ",39.8,56.7,NA,"",20080811,20130913,0,0,0,0,0,0
0,50,79,79,5.6,9.6,"サンショウ",20.7,NA,NA,"立枯れ",20080811,20130913,0,1,0,0,0,0
0,50,80,80,4.2,5.4,"シラキ",58.1,61.2,NA,"",20080811,20130913,0,0,0,0,0,0
0,50,81,80,4.2,5.4,"シラキ",35,35.6,NA,"",20080811,20130913,0,0,0,0,0,0
0,50,82,82,4.1,9.5,"サワシバ",18.3,20.8,NA,"",20080811,20130913,0,0,0,0,0,0
0,60,83,83,1,1.4,"サワシバ",NA,18.3,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,60,84,84,8.2,2,"サワシバ",74.5,84.7,NA,"",20080811,20130913,0,0,0,0,0,0
10,60,85,85,3.4,3,"シラキ",46,34.7,NA,"測定位置1.30取り直し",20080811,20130913,0,0,0,0,0,0
10,60,86,86,4.2,2,"ブナ",81.5,86.5,NA,"",20080811,20130913,0,0,0,0,0,0
10,60,87,87,6.6,0.1,"アワブキ",22.1,25.6,NA,"",20080811,20130913,0,0,0,0,0,0
10,60,88,88,5,9.6,"シラキ",33.8,34.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,60,89,88,5,9.6,"シラキ",23.9,24,NA,"",20080811,20130913,0,0,0,0,0,0
10,60,90,90,2.6,7.8,"ナツツバキ",100,105.2,NA,"測定位置1.30取り直し",20080811,20130913,0,0,0,0,0,0
0,60,91,91,3.8,6.6,"イヌブナ",209,220.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,60,92,91,4,6.6,"イヌブナ",38.8,39.8,NA,"",20080811,20130913,0,0,0,0,0,0
0,60,93,91,4,6.6,"イヌブナ",43.1,48.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,60,94,91,3.6,6.5,"イヌブナ",21.3,23,NA,"",20080811,20130913,0,0,0,0,0,0
0,60,95,91,3.8,6.6,"イヌブナ",19.5,23.8,"測定位置1.20m","測定位置1.20m",20080811,20130913,0,0,0,0,0,0
0,60,13752,91,3.8,6.6,"イヌブナ",NA,21.5,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,60,13753,91,3.8,6.6,"イヌブナ",NA,18.1,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,60,13754,91,3.8,6.6,"イヌブナ",NA,15.9,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,70,96,96,7.4,2.2,"ブナ",168.7,174.1,NA,"",20080811,20130913,0,0,0,0,0,0
10,70,97,97,2.8,2,"サワシバ",44.7,45.3,NA,"",20080811,20130913,0,0,0,0,0,0
10,70,98,98,7.5,3,"コバノトネリコ",46.5,47.3,NA,"",20080811,20130913,0,0,0,0,0,0
10,70,99,99,5.4,5.8,"エンコウカエデ",120.5,122.4,NA,"",20080811,20130913,0,0,0,0,0,0
10,70,100,100,0.1,7.2,"アワブキ",17.5,18.9,NA,"",20080811,20130913,0,0,0,0,0,0
0,70,101,101,8.7,7.2,"アワブキ",20.2,21.7,NA,"",20080811,20130913,0,0,0,0,0,0
0,70,102,101,8.7,7.2,"アワブキ",NA,19.7,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,80,103,103,6.2,0,"イヌブナ",121.7,127.9,NA,"幹折れ生存",20080811,20130913,0,0,0,0,0,0
0,80,104,103,6.2,0,"イヌブナ",20.5,21.6,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,105,103,6.3,0,"イヌブナ",23.6,25.7,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,106,103,6.3,0,"イヌブナ",26.9,29.3,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,107,103,5.9,0,"イヌブナ",27.9,31.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,108,103,5.8,0,"イヌブナ",27,31.1,"測定位置1.40m","測定位置1.40m",20080811,20130913,0,0,0,0,0,0
0,70,109,109,4.1,8.2,"ブナ",47.9,51.4,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,110,110,0.1,0.1,"アワブキ",26.8,30.6,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,13755,110,0.1,0.3,"アワブキ",NA,16.6,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,80,111,111,2.4,3.8,"ブナ",44,47.1,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,112,112,3.5,3.8,"ミズナラ",247.6,253.4,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,113,113,5.3,3.8,"コバノトネリコ",38,39.4,NA,"",20080811,20130913,0,0,0,0,0,0
0,80,114,114,6.5,4.5,"ブナ",96.5,98.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,13756,13756,2.4,3,"メグスリノキ",NA,17,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,80,13757,13757,5.2,4.1,"コバノトネリコ",NA,20,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,80,116,116,7.3,1,"ホオノキ",21.4,NA,"根返っているが生存","根返り",20080811,20130913,0,1,0,0,0,0
10,80,117,117,9.2,5.3,"シラキ",16,16.7,NA,"測定位置1.30取り直し",20080811,20130913,0,0,0,0,0,0
10,80,118,117,9.2,5.3,"シラキ",17.1,17.9,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,119,119,6.4,8.2,"イヌブナ",156.8,162.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,120,119,6.5,8.4,"イヌブナ",24.5,25.1,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,121,119,6.6,8.3,"イヌブナ",27.8,30.9,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,122,119,7,7.8,"イヌブナ",20.7,21.2,NA,"ブナハバチ被害",20080811,20130913,0,0,0,0,0,0
10,80,123,119,6.8,7.8,"イヌブナ",51,51.3,NA,"ブナハバチ被害",20080811,20130913,0,0,0,0,0,0
10,80,124,119,6,8,"イヌブナ",40.5,42.9,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,125,119,6.4,8.2,"イヌブナ",18.3,20.6,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,126,119,6.4,8.2,"イヌブナ",16.2,18.9,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,127,127,0.8,6.7,"アワブキ",16.8,17.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,80,128,119,6.4,8.2,"イヌブナ",NA,19.1,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
0,80,129,129,8.6,7.8,"ブナ",28.7,29.6,NA,"ブナハバチ被害",20080811,20130913,0,0,0,0,0,0
0,80,130,130,3,9.9,"イヌブナ",21.5,NA,NA,"立枯れ",20080811,20130913,0,1,0,0,0,0
0,80,131,130,2.6,9.9,"イヌブナ",18.2,18.4,NA,"ブナハバチ被害",20080811,20130913,0,0,0,0,0,0
0,90,133,133,1.2,1.2,"ミズナラ",267.8,273.9,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,134,134,0.8,3,"ブナ",96.2,97.1,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,135,135,5.6,1.9,"ブナ",47.7,58.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,136,136,5.4,3.4,"ナツツバキ",113.1,115.7,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,137,137,2,2.8,"イヌブナ",107,NA,NA,"立枯れ",20080811,20130913,0,1,0,0,0,0
10,90,138,137,2.3,2.9,"イヌブナ",43.3,45.5,"deer(生存)","ブナハバチ被害",20080811,20130913,0,0,0,0,0,0
10,90,139,137,1.2,2.4,"イヌブナ",35.9,38.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,140,137,1.6,3,"イヌブナ",36.8,36.8,NA,"幹割れ",20080811,20130913,0,0,0,0,0,0
10,90,141,137,1.7,2.7,"イヌブナ",65.2,65.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,142,137,2,3.1,"イヌブナ",29.3,30.6,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,143,137,2,2.8,"イヌブナ",24.1,26.8,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,144,137,2,2.8,"イヌブナ",16.8,18.6,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,145,145,6.8,4.4,"コハウチワカエデ",47.9,49.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,146,146,7,5.4,"ミズキ",24.6,NA,NA,"立枯れ",20080811,20130913,0,1,0,0,0,0
10,90,147,147,6.2,8.8,"アワブキ",28.4,31.5,NA,"",20080811,20130913,0,0,0,0,0,0
10,90,148,148,1.5,9,"ブナ",88.6,95.4,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,149,149,8.9,9.1,"ブナ",25.5,25.8,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,150,150,8.2,8.2,"ハウチワカエデ",32.7,35.2,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,151,151,6.1,10,"ブナ",51.8,51.3,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,152,152,4,9.6,"ミズナラ",259.3,264,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,153,153,1,9,"エゴノキ",26,29.5,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,154,154,3.6,6.4,"ハウチワカエデ",53.4,54.7,NA,"",20080811,20130913,0,0,0,0,0,0
0,90,155,155,4,5.6,"エゴノキ",47.1,41.8,NA,"測定位置1.30取り直し",20080811,20130913,0,0,0,0,0,0
20,0,201,201,5,3,"サワシバ",51.7,54,NA,"",20080811,20130913,0,0,0,0,0,0
20,0,202,202,9.5,4.7,"オオイタヤメイゲツ",58.4,63.6,NA,"",20080811,20130913,0,0,0,0,0,0
20,0,203,202,9.7,4.7,"オオイタヤメイゲツ",24.4,27.5,NA,"",20080811,20130913,0,0,0,0,0,0
20,0,204,202,9.5,4.6,"オオイタヤメイゲツ",19.5,20.7,NA,"",20080811,20130913,0,0,0,0,0,0
20,0,205,202,9.5,4.6,"オオイタヤメイゲツ",21,21.2,NA,"",20080811,20130913,0,0,0,0,0,0
30,0,206,206,1.5,0,"オオイタヤメイゲツ",99.2,104.8,NA,"",20080811,20130913,0,0,0,0,0,0
30,20,221,221,4.9,0.6,"サンショウ",21.8,21.9,NA,"",20080811,20130913,0,0,0,0,0,0
30,0,207,207,5.9,9,"サワシバ",44.2,53.9,NA,"",20080811,20130913,0,0,0,0,0,0
30,0,208,207,5.6,9,"サワシバ",31.9,34.8,NA,"",20080811,20130913,0,0,0,0,0,0
30,0,13758,13758,3.5,5.4,"シラキ",NA,24.1,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
30,0,209,209,2.5,9.5,"サワシバ",46.3,50.3,NA,"",20080811,20130913,0,0,0,0,0,0
20,0,210,210,8.9,6.7,"クマシデ",55.6,55.6,"先端幹折れ","",20080811,20130913,0,0,0,0,0,0
20,0,211,211,9.8,8.5,"シラキ",16.7,21.4,"つる","",20080811,20130913,0,0,0,0,0,0
20,0,212,212,0.5,5,"サワシバ",61.3,63.3,NA,"",20080811,20130913,0,0,0,0,0,0
20,10,213,213,1,0.1,"サワシバ",53,51.1,"測定位置1.20m","測定位置1.30取り直し、幹割れ",20080811,20130913,0,0,0,0,0,0
20,10,13759,13759,3.9,1.2,"シラキ",NA,16.6,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
20,10,214,214,4.8,1.2,"ウワミズザクラ",25.7,30.8,NA,"",20080811,20130913,0,0,0,0,0,0
30,10,215,215,2.2,1,"コバノトネリコ",31.2,32.5,NA,"",20080811,20130913,0,0,0,0,0,0
30,10,216,216,3.3,3.5,"サワシバ",83.2,84.7,"測定位置1.10m","測定位置1.10m",20080811,20130913,0,0,0,0,0,0
30,10,217,217,7.3,3,"サワシバ",29.7,29.8,NA,"",20080811,20130913,0,0,0,0,0,0
30,10,218,218,2.5,8.4,"ミズキ",77,87.9,NA,"",20080811,20130913,0,0,0,0,0,0
30,10,219,219,3.6,5.1,"シラキ",20.5,20.5,NA,"",20080811,20130913,0,0,0,0,0,0
30,10,220,220,2.4,5.2,"コバノトネリコ",37,37.4,NA,"",20080811,20130913,0,0,0,0,0,0
20,10,222,222,8.2,9.8,"ミズキ",37.8,39,NA,"",20080811,20130913,0,0,0,0,0,0
20,10,223,223,3.8,6.4,"サワシバ",58,58.9,NA,"",20080811,20130913,0,0,0,0,0,0
20,10,224,223,3.9,6.5,"サワシバ",45,46.5,NA,"",20080811,20130913,0,0,0,0,0,0
20,20,225,225,2,5,"ウワミズザクラ",49.2,55.9,NA,"",20080811,20130913,0,0,0,0,0,0
