#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-AT3）.,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧トドマツ人工林,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-AT3,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.225ha,50×45,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,,2007年まで周囲長30cm以下は対象外,,,,,,,,,,,,,,
#/log,20120124,2011年データを追加,,,,,,,,,,,,,,
#,,幹座標を追加（元データのXとYは入れ替えた）,,,,,,,,,,,,,,
#,,tag_no = 325 475 516 測定間違いの可能性あり　-> 入力間違いではない　gbh11をnd,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#/data,,20110809,2008年データからデータ作成（2006年データはタグがなかったため別シートに）,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh11","note08","note11","s_date08","s_date11","stem_id","indv_id","sort","code","dl08","dl11","rec08","rec11","error08","error11"
NA,NA,229,229,5.408,42.861,"トドマツ",57.8,59.4,NA,NA,NA,NA,"2008_229","2008_229",29,2,0,0,0,0,0,0
NA,NA,230,230,7.143,43.188,"トドマツ",83,87.3,NA,NA,NA,NA,"2008_230","2008_230",30,2,0,0,0,0,0,0
NA,NA,231,231,9.468,43.015,"トドマツ",58.5,59.3,NA,NA,NA,NA,"2008_231","2008_231",31,2,0,0,0,0,0,0
NA,NA,232,232,10.345,41.049,"トドマツ",54.3,55.8,NA,NA,NA,NA,"2008_232","2008_232",32,2,0,0,0,0,0,0
NA,NA,233,233,12.624,40.274,"トドマツ",43,43.6,NA,NA,NA,NA,"2008_233","2008_233",33,2,0,0,0,0,0,0
NA,NA,234,234,13.569,42.857,"トドマツ",68.5,72,NA,NA,NA,NA,"2008_234","2008_234",34,2,0,0,0,0,0,0
NA,NA,235,235,14.52,40.302,"トドマツ",50.2,52.5,NA,NA,NA,NA,"2008_235","2008_235",35,2,0,0,0,0,0,0
NA,NA,236,236,16.656,40.847,"トドマツ",77.8,82.6,NA,NA,NA,NA,"2008_236","2008_236",36,2,0,0,0,0,0,0
NA,NA,237,237,18.247,41.961,"トドマツ",72.5,75.3,NA,NA,NA,NA,"2008_237","2008_237",37,2,0,0,0,0,0,0
NA,NA,238,238,20.801,40.532,"トドマツ",71.2,75.2,NA,NA,NA,NA,"2008_238","2008_238",38,2,0,0,0,0,0,0
NA,NA,239,239,22.552,41.043,"ホオノキ",45.2,44.5,NA,NA,NA,NA,"2008_239","2008_239",39,35,0,0,0,0,0,0
NA,NA,240,240,22.965,41.983,"ホオノキ",27.5,27.3,NA,NA,NA,NA,"2008_240","2008_240",40,35,0,0,0,0,0,0
NA,NA,241,241,24.861,41.561,"トドマツ",69.2,69.6,NA,NA,NA,NA,"2008_241","2008_241",41,2,0,0,0,0,0,0
NA,NA,567,567,24.311,40.054,"ホオノキ",NA,NA,NA,NA,NA,NA,"2011_567","2011_567",42,35,2,2,0,0,0,0
NA,NA,242,242,26.338,41.362,"トドマツ",49.6,51.7,NA,NA,NA,NA,"2008_242","2008_242",43,2,0,0,0,0,0,0
NA,NA,243,243,28.335,42.776,"ホオノキ",26.5,26.5,NA,NA,NA,NA,"2008_243","2008_243",44,35,0,0,0,0,0,0
NA,NA,244,244,28.319,40.396,"ホオノキ",32.6,34.9,"同株1","同株１",NA,NA,"2008_244","2008_244",45,35,0,0,0,0,0,0
NA,NA,245,244,NA,NA,"ホオノキ",15.8,25.6,"同株1","同株１",NA,NA,"2008_245","2008_244",46,35,0,0,0,0,0,0
NA,NA,246,246,29.48,39.652,"トドマツ",58,62,NA,NA,NA,NA,"2008_246","2008_246",47,2,0,0,0,0,0,0
NA,NA,247,247,31.44,39.34,"トドマツ",65.1,68.8,NA,NA,NA,NA,"2008_247","2008_247",48,2,0,0,0,0,0,0
NA,NA,248,248,32.452,37.237,"トドマツ",40.7,42.4,NA,NA,NA,NA,"2008_248","2008_248",49,2,0,0,0,0,0,0
NA,NA,249,249,31.014,36.299,"トドマツ",69.9,73.6,NA,NA,NA,NA,"2008_249","2008_249",50,2,0,0,0,0,0,0
NA,NA,250,250,30.304,37.917,"ホオノキ",29.3,30.4,NA,NA,NA,NA,"2008_250","2008_250",51,35,0,0,0,0,0,0
NA,NA,251,251,28.681,36.292,"トドマツ",51,52,NA,NA,NA,NA,"2008_251","2008_251",52,2,0,0,0,0,0,0
NA,NA,252,252,27.498,39.256,"トドマツ",34,NA,NA,NA,NA,NA,"2008_252","2008_252",53,2,0,1,0,0,0,0
NA,NA,253,253,25.696,39.147,"トドマツ",67,72,NA,NA,NA,NA,"2008_253","2008_253",54,2,0,0,0,0,0,0
NA,NA,254,254,27.131,36.364,"トドマツ",66.1,67.5,NA,NA,NA,NA,"2008_254","2008_254",55,2,0,0,0,0,0,0
NA,NA,255,255,24.933,35.514,"トドマツ",53.1,53.4,NA,NA,NA,NA,"2008_255","2008_255",56,2,0,0,0,0,0,0
NA,NA,256,256,22.664,36.543,"トドマツ",34.2,NA,NA,NA,NA,NA,"2008_256","2008_256",57,2,0,1,0,0,0,0
NA,NA,257,257,21.589,38.673,"トドマツ",57.2,60.9,NA,NA,NA,NA,"2008_257","2008_257",58,2,0,0,0,0,0,0
NA,NA,258,258,19.598,38.622,"トドマツ",51,52.2,NA,NA,NA,NA,"2008_258","2008_258",59,2,0,0,0,0,0,0
NA,NA,259,259,20.351,36.573,"トドマツ",89.6,93.8,NA,NA,NA,NA,"2008_259","2008_259",60,2,0,0,0,0,0,0
NA,NA,260,260,17.899,36.802,"ホオノキ",31,32.2,NA,NA,NA,NA,"2008_260","2008_260",61,35,0,0,0,0,0,0
NA,NA,261,261,16.158,36.177,"トドマツ",66.1,67,NA,NA,NA,NA,"2008_261","2008_261",62,2,0,0,0,0,0,0
NA,NA,262,262,15.95,38.406,"ホオノキ",38.4,40.3,NA,NA,NA,NA,"2008_262","2008_262",63,35,0,0,0,0,0,0
NA,NA,263,263,13.509,38.179,"トドマツ",58,59.8,NA,NA,NA,NA,"2008_263","2008_263",64,2,0,0,0,0,0,0
NA,NA,264,264,11.866,36.959,"トドマツ",63.8,64.5,NA,NA,NA,NA,"2008_264","2008_264",65,2,0,0,0,0,0,0
NA,NA,265,265,11.09,39.01,"トドマツ",48.5,50.6,NA,NA,NA,NA,"2008_265","2008_265",66,2,0,0,0,0,0,0
NA,NA,266,266,9.075,38.66,"トドマツ",53.3,54.1,NA,NA,NA,NA,"2008_266","2008_266",67,2,0,0,0,0,0,0
NA,NA,267,267,8.057,36.522,"トドマツ",94.3,98.4,NA,NA,NA,NA,"2008_267","2008_267",68,2,0,0,0,0,0,0
NA,NA,268,268,6.027,35.983,"トドマツ",76.9,81.3,NA,NA,NA,NA,"2008_268","2008_268",69,2,0,0,0,0,0,0
NA,NA,269,269,3.274,37.186,"トドマツ",56.4,58.3,NA,NA,NA,NA,"2008_269","2008_269",70,2,0,0,0,0,0,0
NA,NA,270,270,1.084,37.792,"トドマツ",90.8,95.6,NA,NA,NA,NA,"2008_270","2008_270",71,2,0,0,0,0,0,0
NA,NA,271,271,-2.232,36.192,"トドマツ",74.2,78.2,NA,NA,NA,NA,"2008_271","2008_271",72,2,0,0,0,0,0,0
NA,NA,272,272,-4.026,35.361,"トドマツ",79,82,NA,NA,NA,NA,"2008_272","2008_272",73,2,0,0,0,0,0,0
NA,NA,273,273,-6.48,36.214,"トドマツ",58.3,59.2,NA,NA,NA,NA,"2008_273","2008_273",74,2,0,0,0,0,0,0
NA,NA,274,274,-8.642,36.091,"トドマツ",45,46,NA,NA,NA,NA,"2008_274","2008_274",75,2,0,0,0,0,0,0
NA,NA,275,275,-11.051,36.57,"トドマツ",54.3,56.5,NA,NA,NA,NA,"2008_275","2008_275",76,2,0,0,0,0,0,0
NA,NA,276,276,-11.357,35.399,"ホオノキ",16.5,27,NA,NA,NA,NA,"2008_276","2008_276",77,35,0,0,0,0,0,0
NA,NA,277,277,-12.152,33.752,"トドマツ",78.9,83.5,NA,NA,NA,NA,"2008_277","2008_277",78,2,0,0,0,0,0,0
NA,NA,278,278,-11.308,31.775,"トドマツ",70,71.5,NA,NA,NA,NA,"2008_278","2008_278",79,2,0,0,0,0,0,0
NA,NA,279,279,-9.756,29.718,"ホオノキ",37.2,42.8,NA,NA,NA,NA,"2008_279","2008_279",80,35,0,0,0,0,0,0
NA,NA,280,280,-9.428,31.981,"トドマツ",56.4,59.2,NA,NA,NA,NA,"2008_280","2008_280",81,2,0,0,0,0,0,0
NA,NA,281,281,-6.839,31.571,"トドマツ",51.7,52.8,NA,NA,NA,NA,"2008_281","2008_281",82,2,0,0,0,0,0,0
NA,NA,282,282,-7.528,33.835,"トドマツ",73,76.6,NA,NA,NA,NA,"2008_282","2008_282",83,2,0,0,0,0,0,0
NA,NA,283,283,-5.633,34.122,"トドマツ",60.1,60.5,NA,NA,NA,NA,"2008_283","2008_283",84,2,0,0,0,0,0,0
NA,NA,284,284,-4.921,31.829,"トドマツ",51.3,51.4,NA,NA,NA,NA,"2008_284","2008_284",85,2,0,0,0,0,0,0
NA,NA,285,285,-3.127,33.21,"トドマツ",64.3,66.7,NA,NA,NA,NA,"2008_285","2008_285",86,2,0,0,0,0,0,0
NA,NA,286,286,-2.441,31.131,"トドマツ",62,63.4,NA,NA,NA,NA,"2008_286","2008_286",87,2,0,0,0,0,0,0
NA,NA,287,287,-1.611,32.278,"ホオノキ",31.7,33.9,NA,NA,NA,NA,"2008_287","2008_287",88,35,0,0,0,0,0,0
NA,NA,288,288,-1.761,33.737,"トドマツ",58.5,62.2,NA,NA,NA,NA,"2008_288","2008_288",89,2,0,0,0,0,0,0
NA,NA,289,289,3.082,32.32,"トドマツ",82.7,82.9,NA,NA,NA,NA,"2008_289","2008_289",90,2,0,0,0,0,0,0
NA,NA,290,290,3.961,34.758,"トドマツ",53.2,56,NA,NA,NA,NA,"2008_290","2008_290",91,2,0,0,0,0,0,0
NA,NA,291,291,5.206,35.126,"ホオノキ",20.7,20.5,NA,NA,NA,NA,"2008_291","2008_291",92,35,0,0,0,0,0,0
NA,NA,292,292,6.459,35.264,"ホオノキ",20.6,20.5,NA,NA,NA,NA,"2008_292","2008_292",93,35,0,0,0,0,0,0
NA,NA,293,293,6.658,34.021,"トドマツ",54.2,57.4,NA,NA,NA,NA,"2008_293","2008_293",94,2,0,0,0,0,0,0
NA,NA,294,294,8.963,34.375,"トドマツ",38.4,NA,NA,NA,NA,NA,"2008_294","2008_294",95,2,0,1,0,0,0,0
NA,NA,295,295,11.154,33.477,"トドマツ",73.3,74.1,NA,NA,NA,NA,"2008_295","2008_295",96,2,0,0,0,0,0,0
NA,NA,296,296,10.605,35.679,"トドマツ",42.5,42.6,NA,NA,NA,NA,"2008_296","2008_296",97,2,0,0,0,0,0,0
NA,NA,297,297,12.827,34.786,"トドマツ",83.3,85.8,NA,NA,NA,NA,"2008_297","2008_297",98,2,0,0,0,0,0,0
NA,NA,298,298,15.225,33.746,"トドマツ",72,73.8,NA,NA,NA,NA,"2008_298","2008_298",99,2,0,0,0,0,0,0
NA,NA,299,299,17.568,32.942,"トドマツ",76.2,79.7,NA,NA,NA,NA,"2008_299","2008_299",100,2,0,0,0,0,0,0
NA,NA,300,300,20.452,32.066,"トドマツ",60.6,60.9,NA,NA,NA,NA,"2008_300","2008_300",101,2,0,0,0,0,0,0
NA,NA,301,301,21.694,33.023,"トドマツ",31,NA,NA,NA,NA,NA,"2008_301","2008_301",102,2,0,1,0,0,0,0
NA,NA,302,302,23.486,34.456,"トドマツ",71,73.5,NA,NA,NA,NA,"2008_302","2008_302",103,2,0,0,0,0,0,0
NA,NA,303,303,25.754,33.253,"トドマツ",58.9,61.7,NA,NA,NA,NA,"2008_303","2008_303",104,2,0,0,0,0,0,0
NA,NA,304,304,26.858,34.433,"トドマツ",51,53.2,NA,NA,NA,NA,"2008_304","2008_304",105,2,0,0,0,0,0,0
