#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,田代直明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ashoro (AS-DB3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,足寄(九州大学北海道演習林）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,足寄花輪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,AS-DB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.6ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20121015,2011年度データチェック（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_idとindv_idのコラムを追加（セル内は、2001_tag_no、および2001_indv_noとした）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_noの空欄部分（単幹であった個体）をtag_noで埋める．,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20130131,2012年度データチェック（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=1232 ツルsp⇒データ整理の都合上、nd（不明）とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20130306,tag_no=171 ミズナラ　gbh12を24.7cmに修正する（サイトからの訂正依頼による。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=541 のgbh 12を38.8cmに訂正し、gbh07、gbh11はndとする。（サイトからの訂正依頼による。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=545 gbh11について測定ミスの可能性が高いため、ndとする。（サイトからの訂正依頼による。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161115,tag_no=1111 エゾヤマザクラは2015年に38.9cmと記載されたが誤入力の可能性が高く，28.9cmとした,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161213,tag_no=1431 ノリウツギは2015年の紙野帳に記載あり，エクセル様式に記入されていなかったので書き加えた．,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171101,公開データのためのエラーチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1312 gbh16, 前年まで生存だが、当年はnaの個体→gbh15のgbhの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=737 gbh15, 前年まで生存だが、当年はnaの個体→枯死のためdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=81 gbh14=na で gbh15=22.7, →半枯れの後復活のためgbh13,14にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171227,2017年度データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1312 gbh16, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=312 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=497 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=64 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note07","note11","note12","note13","note14","note15","note16","note17","s_data07","s_data11","s_data12","s_data13","s_data14","s_data15","s_data16","s_data17","新タグ","旧丸タグNo.","stem_id","indv_id","現行タグ","dl07","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec07","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error07","error11","error12","error13","error14","error15","error16","error17"
90,0,16,16,1.5,8.3,"キハダ",15.3,16.7,16.8,17.1,17.4,18.1,18.5,18.5,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_16","2011_16",16,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,17,17,1.1,8.1,"ミズナラ",18,18.9,19,19.1,19.2,19.5,19.8,19.6,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_17","2011_17",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,18,18,1.1,7.8,"ミズナラ",18.8,19.3,19.2,19.3,19.4,19.8,19.8,19.7,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_18","2011_18",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,19,19,2.3,4.6,"ミズナラ",26.4,26.8,27,27.2,27.2,27.8,27.8,27.8,NA,NA,NA,"タグ付替",NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1371,"","2011_19","2011_19",1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,20,20,2,1.6,"ミズナラ",57.8,61.6,62.3,62.8,64,65.3,66.5,66.7,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_20","2011_20",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,1230,1230,7.3,7.3,"アサダ",59,58.8,58.9,58.9,59,59.6,59.5,59.1,NA,"幹折・タグ無し",NA,"タグ付替",NA,NA,"2回計測","","20071218","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1372,"","2011_1230","2011_1230",1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,201,201,9.5,1.7,"ミズナラ",26.6,27,27.3,27.2,27.3,27.9,27.9,28,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_201","2011_201",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,202,202,9.5,1.8,"ミズナラ",21,22,22,22.2,22.2,22.4,22.4,22.8,NA,NA,NA,"タグ付替",NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1376,"","2011_202","2011_202",1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,203,203,8.3,0.6,"ミズキ",25.4,29.3,30.1,30.7,31.6,32.7,33.5,34.6,NA,"樹種違い",NA,"タグ付替",NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1374,"","2011_203","2011_203",1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,204,204,5.9,1.3,"ヤマウルシ",16.8,18,18.2,18.2,17.8,NA,NA,NA,NA,NA,NA,NA,"枯れかけ","17.9枯","","","20071113","20111017","20121128","20131121","20141119","20150902",NA,20171031,NA,"","2011_204","2011_204",204,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,205,205,2.9,2.4,"ヤエガワカンバ",68,65.2,67.2,69.4,71.3,74.7,76.8,78.6,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_205","2011_205",205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,206,206,4.6,3,"エゾイタヤ",15.3,16.1,16.2,16.3,16.5,17.1,17.2,17.4,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_206","2011_206",206,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,207,207,7.6,4.1,"ミズナラ",53.9,57.5,58.5,59.6,60.7,62.4,63.3,64,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_207","2011_207",207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,208,208,9.5,6.5,"ミズナラ",33.8,34.5,34.9,35.8,36,36.9,36.7,37.1,"先端がタワー内",NA,NA,NA,"タグ付替",NA,"2回計測","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1397,"","2011_208","2011_208",1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10,209,208,9.5,6.5,"ミズナラ",32.5,32.4,32.2,NA,NA,NA,NA,NA,NA,"枯？",NA,"32.2枯",NA,NA,"","","20071113","20111017","20121128","20131121",NA,NA,NA,20171031,NA,"","2011_209","2011_208",209,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
