#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,武生　雅明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kannami (KN-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,函南・600,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KN-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord were reformatted.",,,,,,,,,,,,,,,
#,20110307,2010年データの追加,,,,,,,,,,,,,,,
#,20110328,データチェック（鈴木智之）,,,,,,,,,,,,,,,
#,,tag_no=E588、E589はE551とは別種、別区画->indv_noをE588に変更,,,,,,,,,,,,,,,
#,,tag_no=F287はF89とは別種->F86と同株の間違い？とりあえずindv_tag=F287とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=C586はE116とは別種->種名間違い？F121と同株の間違い？とりあえずindv_tag=C586とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=F107はgbh09をnd,,,,,,,,,,,,,,,
#,,tag_no=E906はgbh10をcd,,,,,,,,,,,,,,,
#,,tag_no=E233はgbh10をnd,,,,,,,,,,,,,,,
#,,すでに枯死していた個体を「dd」に,,,,,,,,,,,,,,,
#,20170621,データ確認（日野）,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れ等の枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15からは状態が予測できない個体→「nd」を入力,,,,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","indv_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
10,0,"Ｆ48","F48",NA,NA,"イヌガシ",80.8,81.7,83,NA,"","",20050916,20100919,20150915,"Ｆ48","F48",0,0,0,0,0,0,0,0,0
10,0,"F73","F73",NA,NA,"シキミ",15.6,16,16.6,NA,"A14をＡ13に変更","",20050916,20100918,20150915,"F73","F73",0,0,0,-1,1,0,0,0,0
20,0,"F76","F76",NA,NA,"アカガシ",18.7,23.3,26.5,NA,"","",20050916,20100918,20150915,"F76","F76",0,0,0,0,0,0,0,0,0
20,0,"F81","F81",NA,NA,"イヌガヤ",20.2,21.9,22.8,NA,"","",20050916,20100918,20150915,"F81","F81",0,0,0,0,0,0,0,0,0
20,0,"F80","F80",NA,NA,"アブラチャン",25.3,25.4,NA,NA,"","枯死",20050916,20100918,20150915,"F80","F80",0,0,1,0,0,0,0,0,0
20,0,"F79","F79",NA,NA,"アカガシ",27.8,32.9,33.9,NA,"","",20050916,20100918,20150915,"F79","F79",0,0,0,0,0,0,0,0,0
20,0,"F74","F74",NA,NA,"アカガシ",32.7,35.5,37.7,NA,"","",20050916,20100918,20150915,"F74","F74",0,0,0,0,0,0,0,0,0
20,0,"F82","F82",NA,NA,"ツクバネガシ",35.9,36.1,35.9,NA,"","倒れ、枯れかけ",20050916,20100918,20150915,"F82","F82",0,0,0,0,0,0,0,0,0
20,0,"159","F78",NA,NA,"シラキ",38.8,41.3,43.8,NA,"","タグF78→159",20050916,20100918,20150915,"F78","F78",0,0,0,0,0,0,0,0,0
20,0,"F77","F77",NA,NA,"アカガシ",40.2,40.8,NA,NA,"倒れ,ほぼ枯れ","枯死",20050916,20100918,20150915,"F77","F77",0,0,1,0,0,0,0,0,0
20,0,"F75","F75",NA,NA,"オオモミジ",42.1,42.5,43.6,NA,"","",20050916,20100918,20150915,"F75","F75",0,0,0,0,0,0,0,0,0
30,0,"F88","F88",NA,NA,"アオキ",15.7,15.8,15.8,NA,"","",20050916,20100918,20150915,"F88","F88",0,0,0,0,0,0,0,0,0
30,0,"F83","F83",NA,NA,"アオキ",16.9,NA,NA,NA,"枯れ","",20050916,20100918,20150915,"F83","F83",0,1,2,0,0,0,0,0,0
30,0,"F85","F85",NA,NA,"アカガシ",21.1,23.8,25.6,NA,"","",20050916,20100918,20150915,"F85","F85",0,0,0,0,0,0,0,0,0
30,0,"F86","F86",NA,NA,"アブラチャン",24.1,24.2,NA,NA,"斜め","枯死",20050916,20100918,20150915,"F86","F86",0,0,1,0,0,0,0,0,0
30,0,"F87","F87",NA,NA,"シラキ",37,38.8,40.5,NA,"","",20050916,20100918,20150915,"F87","F87",0,0,0,0,0,0,0,0,0
30,0,"F84","F84",NA,NA,"ヤマグワ",41.8,42.8,NA,NA,"","枯死",20050916,20100918,20150915,"F84","F84",0,0,1,0,0,0,0,0,0
30,0,"F89","F89",NA,NA,"イロハモミジ",92.5,94.4,97.6,NA,"","",20050916,20100918,20150915,"F89","F89",0,0,0,0,0,0,0,0,0
