#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,新山馨,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Yakushima-shoyojyurin (YK-EB1）.,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,屋久島 照葉樹林,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,YK-EB1,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,
#/note,20090516,gbh06にvi（ツル込み）が入っていたものは数値に戻した（石原）。,,,,,,,,,,,,,,,,,,
#,,tag_no=M427 アカソガシワ-->アカメガシワ,,,,,,,,,,,,,,,,,,
#,,tag_no=R913 イヌガシ？-→イヌガシ,,,,,,,,,,,,,,,,,,
#,,note06.1 is a block number.->mesh_original(20101116),,,,,,,,,,,,,,,,,,
#,,同株とコメントにある場合は、indv_noを同株個体のものを入力した,,,,,,,,,,,,,,,,,,
#,20091022,データ作成者に問い合わせて下記を修正,,,,,,,,,,,,,,,,,,
#,,H724幹のY座標を56.0から5.6に変更,,,,,,,,,,,,,,,,,,
#,,1.タグ番号Q608　X座標＝121→84.1,,,,,,,,,,,,,,,,,,
#,,2.タグ番号L929　X座標＝145→77.5,,,,,,,,,,,,,,,,,,
#,,3.タグ番号Q128　X座標＝153→69.3,,,,,,,,,,,,,,,,,,
#,,4.タグ番号H469　X座標＝121→48.1,,,,,,,,,,,,,,,,,,
#,20091029,"タグ番号N416,417　シャシャンポ-->シャシャンボ",,,,,,,,,,,,,,,,,,
#,20100806,座標をメッシュ内座標に変換,,,,,,,,,,,,,,,,,,
#,20101116,"tag=R655重複。同一幹？ -> -1 -2をつけ、-2の方に行頭に#をつけた（110112)->-2の方を削除し""-1""をとった",,,,,,,,,,,,,,,,,,
#,,"tag=H434重複。同一幹？ -> -1 -2をつけ、-2の方に行頭に#をつけた（110112)->-2の方を削除し""-1""をとった",,,,,,,,,,,,,,,,,,
#,,同株異種 P192 P195 -> P192を別個体とした　　,,,,,,,,,,,,,,,,,,
#,20110216,2010年データの追加,,,,,,,,,,,,,,,,,,
#,,1   tag_no= H57　H295 H435 R487 R486 H909 P986 W732N248 のgbhは測定間違いの可能性あり-->gbh06をnd,,,,,,,,,,,,,,,,,,
#,,2  tag_no= H199 のgbhは測定間違いの可能性あり-->gbh06をnd,,,,,,,,,,,,,,,,,,
#,,9  tag_no= M962 のgbhは測定間違いの可能性あり-->gbh10をnd,,,,,,,,,,,,,,,,,,
#,,11 tag_no= W360 のgbhは測定間違いの可能性あり-->gbh10をcd,,,,,,,,,,,,,,,,,,
#,20170706,過去データをサイトからのデータと見比べてチェック（日野貴文）,,,,,,,,,,,,,,,,,,
#,,タグ番号W931が重複。過去のデータによりgbh10に枯死した幹をN491に修正,,,,,,,,,,,,,,,,,,
#,,G943　ヤマモモが抜けていたので追加,,,,,,,,,,,,,,,,,,
#,,過去データでは2006年当時枯死していた個体は、モニ1000データから除かれていたので、サイトデータから復元,,,,,,,,,,,,,,,,,,
#,,サイトデータのうち、タグ番号がなく2006年より前にすで枯死していたと思われる個体の行は除いた。,,,,,,,,,,,,,,,,,,
#,,"タグ番号H911,L936,964はgbh06の欄が「?」になっており、その後計測されずかつnote欄から枯死だと思われる→dを入力",,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh10","gbh13","note06","note10","note13","s_date06","s_date10","s_date13","mesh_original","tag_no_2010","tag_no_old","indv_no_old","tag_no_new","dl06","dl10","dl13","rec06","rec10","rec13","error06","error10","error13"
10,0,"H20","H20","5","7","バリバリノキ",82.4,84.9,86.6,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H20","H20","H20","H20",0,0,0,0,0,0,0,0,0
10,0,"P854","P854","5.5","9","イヌガシ",37,46.7,59.5,NA,NA,NA,"20070306",20101026,20131101,"Aa2","P854","P854","P854","P854",0,0,0,0,0,0,0,0,0
10,0,"H17","H17","6","8.5","モクタチバナ",27.7,28.4,28.3,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H17","H17","H17","H17",0,0,0,0,0,0,0,0,0
10,0,"H16","H16","6","10","モクタチバナ",70.7,NA,NA,NA,"根返り　枯死",NA,"20070306",20101026,20131101,"Aa2","H16","H16","H16","H16",0,1,2,0,0,0,0,0,0
10,0,"G310","H29","7","5","バリバリノキ",47.2,55.3,62.9,NA,NA,"新No G310","20070306",20101026,20131101,"Aa2","H29","H29","H29","H29",0,0,0,0,0,0,0,0,0
10,0,"H19","H19","7","7","バリバリノキ",21.2,22,21.7,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H19","H19","H19","H19",0,0,0,0,0,0,0,0,0
10,0,"W5","W5",NA,NA,"ナギ",NA,15.5,15.8,NA,"09新規",NA,NA,20101026,20131101,"Aa2","W5","W5",NA,"W5",0,0,0,-1,-1,1,0,0,0
10,0,"A101","H15","7","10","フカノキ",108.1,108.4,116.5,NA,NA,"正しい　新No A101、旧No H15","20070306",20101026,20131101,"Aa2","H15","H15","H15","H15",0,0,0,0,0,0,0,0,0
10,0,"H28","H28","8","2","モクタチバナ",54,54.6,54.8,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H28","H28","H28","H28",0,0,0,0,0,0,0,0,0
10,0,"H35","H35","8","10","サザンカ",21.4,22.9,22,NA,NA,"測定位置変更","20070306",20101026,20131101,"Aa2","H35","H35","H35","H35",0,0,0,0,0,0,0,0,2
10,0,"H33","H33","9","2","バリバリノキ",16.4,NA,NA,NA,"立ち枯れ　",NA,"20070306",20101026,20131101,"Aa2","H33","H33","H33","H33",0,1,2,0,0,0,0,0,0
10,0,"H30","H30","9","7","ヤブツバキ",24.1,24.1,24.1,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H30","H30","H30","H30",0,0,0,0,0,0,0,0,0
10,0,"H31","H31","9","7","ヤブツバキ",46.2,46.2,46.2,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H31","H31","H31","H31",0,0,0,0,0,0,0,0,0
10,0,"H34","H34","9.2","2.5","バリバリノキ",14.9,15.4,14.8,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H34","H34","H34","H34",0,0,0,-1,-1,-1,0,0,0
10,0,"H32","H32","10","1","バリバリノキ",18.9,NA,NA,NA,"枯れ　枯死",NA,"20070306",20101026,20131101,"Aa2","H32","H32","H32","H32",0,1,2,0,0,0,0,0,0
20,0,"H42","H42","0","1","サザンカ",42.5,NA,NA,NA,"立ち枯れ",NA,"20070306",20101026,20131101,"Aa3","H42","H42","H42","H42",0,1,2,0,0,0,0,0,0
20,0,"H41","H41","0","6.5","バリバリノキ",43.6,50.2,55,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H41","H41","H41","H41",0,0,0,0,0,0,0,0,0
20,0,"H43","H43","1","2","バリバリノキ",27.5,30,31.3,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H43","H43","H43","H43",0,0,0,0,0,0,0,0,0
20,0,"H40","H40","1","7","サザンカ",17.5,17.8,18.4,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H40","H40","H40","H40",0,0,0,0,0,0,0,0,0
20,0,"H39","H39","1.5","8","モクタチバナ",85.2,86,85.5,NA,"同株","前回あまい","20070306",20101026,20131101,"Aa3","H39","H39","H39","H39",0,0,0,0,0,0,0,0,0
20,0,"H38","H38","1.5","8","モクタチバナ",38,37.7,37.9,NA,"同株",NA,"20070306",20101026,20131101,"Aa3","H38","H38","H38","H38",0,0,0,0,0,0,0,0,0
20,0,"W941","W941",NA,NA,"サカキ",NA,16.5,17.3,NA,NA,NA,NA,20101026,20131101,"Aa3","W941","W941",NA,"W941",0,0,0,-1,1,0,0,0,0
20,0,"H37","H37","2","10","フカノキ",136.6,NA,NA,NA,"根元折れ　死亡",NA,"20070306",20101026,20131101,"Aa3","H37","H37","H37","H37",0,1,2,0,0,0,0,0,0
20,0,"H47","H47","3","1","モクタチバナ",52.9,53,53,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H47","H47","H47","H47",0,0,0,0,0,0,0,0,0
