#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田 利博,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Fuji (FJ-AT1). ,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,富士,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,FJ-AT1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.5ha,0.25ha*2,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/note,20090515,ツル込み・ツル抜きのコメントを整理（石原正恵）,,,,,,,,,,,,,,,,
#,20091019,樹木の位置は今後計測予定,,,,,,,,,,,,,,,,
#,20100223,データを元ファイルから作り直して、1999年の測定列を追加,,,,,,,,,,,,,,,,
#,20100423,"tag_no=974_610 Gbh09=144.5?, 99=d, 04=na",,,,,,,,,,,,,,,,
#,,"99,04のgbhが胸高直径だったのでpiを掛けて、小数点第二位を丸めた。",,,,,,,,,,,,,,,,
#,,tag_no=469のgbh99をndに,,,,,,,,,,,,,,,,
#,,tag_no=537のgbh04をviに,,,,,,,,,,,,,,,,
#,20171108,データ公開データのためのエラーチェック（日野）,,,,,,,,,,,,,,,,
#,,枯死の次の調査以降のgbhがnaになっていない個体を修正,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh99","gbh04","gbh09","gbh14","note99","note04","note09","note14","s_date99","s_date04","s_date09","s_date14","dl99","dl04","dl09","dl14","rec99","rec04","rec09","rec14","error99","error04","error09","error14"
NA,NA,"420",NA,NA,NA,"ミツバウツギ",14.5,16.7,18.5,21,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"421",NA,NA,NA,"ヤマブドウ",11.3,14.1,17.8,18.1,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"422",NA,NA,NA,"ミツバウツギ",33,37.4,38.5,38.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"423",NA,NA,NA,"ミツバウツギ",16.7,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,0,0,0,0,0,0,0,0
NA,NA,"424",NA,NA,NA,"クロツバラ",10.4,11.6,13,13.6,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"425",NA,NA,NA,"クロツバラ",11.6,13.2,18.6,21.3,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"426",NA,NA,NA,"ミツバウツギ",11.3,15.4,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"427",NA,NA,NA,"マユミ",NA,NA,NA,NA,"gbh99=11.5.枯","枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,1,2,2,2,-1,-1,-1,-1,0,0,0,0
NA,NA,"428",NA,NA,NA,"マユミ",NA,NA,NA,NA,"gbh99=10.5.枯？","枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,1,2,2,2,-1,-1,-1,-1,0,0,0,0
NA,NA,"429",NA,NA,NA,"シラクチヅル",9.7,13.2,15.5,19.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"430",NA,NA,NA,"ミツバウツギ",15.7,18.5,NA,NA,NA,"230の札が付いている","枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"431",NA,NA,NA,"カラマツ",96.4,95.5,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"432",NA,NA,NA,"シラクチヅル",12.3,15.1,14.2,NA,NA,NA,NA,"枯れ","19990402","20040610","20091006",20140310,0,0,0,1,-1,1,0,0,0,0,0,0
NA,NA,"433",NA,NA,NA,"シラクチヅル",11.9,15.1,13.7,NA,NA,NA,NA,"枯れ","19990402","20040610","20091006",20140310,0,0,0,1,-1,1,0,0,0,0,0,0
NA,NA,"434",NA,NA,NA,"シラクチヅル",16,19.5,19.5,NA,NA,NA,NA,"枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"435",NA,NA,NA,"アカマツ",88,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,0,0,0,0,0,0,0,0
