#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,大久保達弘,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kaname Gawa (KK-DB1).,,,,,,,,,,,
#,SITE NAME,サイト名,金目川（小国町金目川在所平ブナ林）,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,
#,PLOT CODE,調査区コード,KK-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,,,,,,,,,,,,,,
#/log,20070501,Data of 2006 was arranged.,,,,,,,,,,,,
#,20171030,データ確認（日野貴文）,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れとうの枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh10","gbh15","note10","note15","s_date10","s_date15","tag_no10","indv_no10","dl10","dl15","rec10","rec15","error10","error15"
0,40,50026,50026,4.7,2.8,"ブナ",205.4,211.5,"微害","",20100818,20150901,50026,50026,0,0,0,0,0,0
0,40,50027,50027,7.9,4.5,"ブナ",113.9,118.8,"微害","",20100818,20150901,50027,50027,0,0,0,0,0,0
0,40,50028,50028,4.7,5.8,"ブナ",212.5,213.8,"微害","",20100818,20150901,50028,50028,0,0,0,0,0,0
0,40,50029,50029,2.3,6.6,"ブナ",304.1,299.9,"微害","",20100818,20150901,50029,50029,0,0,0,0,0,0
0,50,15113,15113,8.4,4.4,"ハウチワカエデ",NA,20.6,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,50,10260,10260,1.2,4,"イタヤカエデ",15.5,19,"","",20100818,20150901,10260,10260,0,0,-1,1,0,0
0,50,10261,10261,4.5,4.9,"コシアブラ",15.4,21,"","",20100818,20150901,10261,10261,0,0,-1,1,0,0
0,50,50030,50030,8,0.7,"コシアブラ",23.6,26.4,"","",20100818,20150901,50030,50030,0,0,0,0,0,0
0,50,50031,50031,7.2,1.2,"ウワミズザクラ",20.6,20.7,"","",20100818,20150901,50031,50031,0,0,0,0,0,0
0,50,50032,50032,7.7,1.5,"ブナ",198.6,203,"微害","",20100818,20150901,50032,50032,0,0,0,0,0,0
0,50,50033,50033,3.6,3.9,"イタヤカエデ",20.5,22.7,"","",20100818,20150901,50033,50033,0,0,0,0,0,0
0,50,50034,50034,8.2,4,"ハウチワカエデ",22.5,23,"","",20100818,20150901,50034,50034,0,0,0,0,0,0
0,50,50037,50037,3.2,7.6,"ブナ",256,259.4,"微害、つるこみ","",20100818,20150901,50037,50037,0,0,0,0,0,0
0,60,15114,15114,7.4,9.1,"リョウブ",NA,15.5,"","",NA,20150901,NA,NA,0,0,-1,-1,0,0
0,60,50038,50038,1.6,6.3,"ブナ",30.6,35.4,"無害","",20100818,20150901,50038,50038,0,0,0,0,0,0
0,70,50039,50039,9.7,7,"サワグルミ",45.2,68.1,"","50039→50040記入ミス",20100818,20150901,50039,50039,0,0,0,0,0,0
0,70,50041,50041,9.7,9.6,"テツカエデ",29.8,31.3,"","",20100818,20150901,50041,50041,0,0,0,0,0,0
0,80,15115,15115,7.3,4,"オオバクロモジ",NA,20.1,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,80,15116,15115,7.3,4,"オオバクロモジ",NA,16,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,80,10262,10263,1.7,1.8,"ウワミズザクラ",15.6,NA,"","萌芽有",20100818,20150901,10262,10263,0,1,-1,-1,0,0
0,80,10263,10263,1.7,1.8,"ウワミズザクラ",16.9,NA,"","",20100818,20150901,10263,10263,0,1,0,0,0,0
0,80,10264,10264,9,7.5,"オオバクロモジ",20.7,NA,"","倒木(ＵＲ)",20100818,20150901,10264,10264,0,1,0,0,0,0
0,80,50042,50042,1.6,1.7,"ブナ",176.8,NA,"中害","幹折れ(ＳＢ)",20100818,20150901,50042,50042,0,1,0,0,0,0
0,80,50043,50043,1.5,7.5,"ブナ",246.5,248,"中害","",20100818,20150901,50043,50043,0,0,0,0,0,0
0,90,15118,10265,2,9.9,"テツカエデ",NA,15.1,"","萌芽",NA,20150902,NA,NA,0,0,-1,-1,0,0
0,90,15119,15119,2.2,6.8,"オオバクロモジ",NA,18.9,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
0,90,15120,50044,6.5,7.5,"ブナ",NA,19.5,"","萌芽",NA,20150902,NA,NA,0,0,-1,1,0,0
