#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Mt. Daisetsu (TA-EC1）. ,,,,,,,,,
#,SITE NAME,サイト名,大雪山（東大雪原生林1ha試験区）,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,
#,PLOT CODE,調査区コード,TA-EC1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","dl08","dl13","rec08","rec13","error08","error13"
20,0,"nWG195","nWG195",4.5,7.5,"エゾマツ",207.6,212.7,NA,NA,20080911,20130830,0,0,0,0,0,0
20,0,"nWG191","nWG191",3.3,2,"トドマツ",40,42.4,NA,NA,20080911,20130830,0,0,0,0,0,0
20,0,"nWG192","nWG192",2.7,2.4,"ダケカンバ",51,50.9,NA,NA,20080911,20130830,0,0,0,0,0,0
20,0,"nWG193","nWG193",1.4,4,"トドマツ",42.8,46.5,NA,NA,20080911,20130830,0,0,0,0,0,0
20,0,"nWG194","nWG194",0.8,4.8,"ダケカンバ",63,65.8,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG198","nWG198",8.6,2.8,"トドマツ",150.2,151.8,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG201","nWG201",5,9.6,"エゾマツ",22.8,27.5,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG200","nWG200",3.7,6.5,"トドマツ",50,53.4,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG212","nWG212",3.1,1.9,"トドマツ",15.5,15.8,NA,NA,20080912,20130830,0,0,-1,1,0,0
10,0,"nWG202","nWG202",2,7.5,"トドマツ",132.2,135.4,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG205","nWG205",1.4,8,"エゾマツ",32.3,35,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG204","nWG204",0.7,6.9,"エゾマツ",15,16.7,NA,NA,20080912,20130830,0,0,-1,1,0,0
10,0,"nWG207","nWG207",0.5,9.1,"トドマツ",23,27.6,NA,NA,20080912,20130830,0,0,0,0,0,0
10,0,"nWG208","nWG208",0.5,9.4,"アカエゾマツ",22.1,24.5,NA,NA,20080912,20130830,0,0,0,0,0,0
0,0,"nWG206","nWG206",9.3,4,"トドマツ",134.9,142,NA,NA,20080912,20130829,0,0,0,0,0,0
0,0,"nWG211","nWG211",3.5,1.5,"ダケカンバ",21.8,24.1,NA,"YJ508とは別物で，2004年番号をnY_1に修正済",20080912,20130829,0,0,0,0,0,0
0,0,"nWG209","nWG209",3,6.8,"アカエゾマツ",51.9,61,NA,NA,20080912,20130829,0,0,0,0,0,0
0,0,"nWG210","nWG210",2.4,1.9,"トドマツ",15.2,20.3,NA,NA,20080912,20130829,0,0,-1,1,0,0
0,0,"nWG215","nWG215",0.3,3.5,"ダケカンバ",23.1,24.1,NA,NA,20080912,20130829,0,0,0,0,0,0
0,0,"nWG216","nWG216",0.1,4.8,"アカエゾマツ",27.4,33,NA,"番号修正済",20080912,20130829,0,0,0,0,0,0
90,10,"nWG298","nWG298",9.5,6.5,"エゾマツ",193.2,200.1,NA,NA,20080911,20130829,0,0,0,0,0,0
90,10,"nWG297","nWG297",9.3,8.2,"エゾマツ",62.1,62.5,NA,NA,20080911,20130829,0,0,0,0,0,0
