#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田俊弘,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Miyajima (MY-EB1).,,,,,,,,,,
#,SITE NAME,サイト名,宮島,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,MY-EB1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,20100409,データ成形（鈴木智之）,,,,,,,,,,,
#,,"tag_no=1588,1722,1777,2193","spc_japanが""枯れ""","spc_japan,gbh09をndに修正",,,,,,,,,
#,,tag_no=1633,"spc_japanが""しき「""->シキミ(20100430)",,,,,,,,,,
#,,"tag_no=1086,1087,1088,1089,1090,1163,1164,1165",spc_japanがワタゲワタゲカマツカ→ワタゲカマツカ,,,,,,,,,,
#,,tag_no=347,spc_japan=?,ndに修正、備考に種不明,,,,,,,,,
#,,"tag_no=2095,2171,2269,2270,2274,2275",spc_japan=落葉樹?,ndに修正、備考に落葉樹?,,,,,,,,,
#,,tag_no=1827,種名記入もれ？->入力(20100430),,,,,,,,,,
#,,tag_no=138,stem_ycord記入もれ->入力(20100430),,,,,,,,,,
#,,"tag_no=709,2378,2379,2392",xy_cord記入もれ->入力(20100430),,,,,,,,,,
#,,同株異種,,,,,,,,,,,
#,,,"[1] ""768,ミミズバイ"" ""768,サカキ -> 同定間違い？サカキをミミズバイに",,,,,,,,,,
#,,,"[1] ""1261,ネジキ""     ""1261,ミミズバイ""->1252は1251と同株",,,,,,,,,,
#,,,"[1] ""1632,シキミ"" ""1632,nd""->1632はシキミ    ",,,,,,,,,,
#,,,"[1] ""1952,ネジキ""   ""1952,ヒサカキ""->1948-1950のネジキは1951のネジキと同株",,,,,,,,,,
#,,,"[1] ""2061,ネジキ"" ""2061,シキ->2379はネジキ",,,,,,,,,,
#,20100430,"tag_no=2374,2375,2376,2377 (アラカシ）",tag2378 (シリブカガシ）と同株になっている→おそらく2376の間違い,,,,,,,,,,
#,20171210,公開データのためのデータチェック(日野),,,,,,,,,,,
#,,サイトから提出されたdbh14データをgbhに換算,,,,,,,,,,,
#,,2014年にタグ交換されたと思われる個体は旧タグ番号をtag_no2009に入力,,,,,,,,,,,
#,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh09","gbh14","note09","note14","s_date09","s_date14","tag_no2009","dl09","dl14","rec09","rec14","error09","error14"
"0",0,"25","27","9.3","3.9","ヒサカキ",18.4,18.84955592,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"26","27","9.3","4.3","ヒサカキ",18.4,18.84955592,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"27","27","9","3.3","ヒサカキ",24.4,25.60398013,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"28","27","9","3.3","ヒサカキ",16.7,17.27875959,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"29","27","8.9","3.2","ヒサカキ",20.3,21.67698931,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"30","27","9","3.3","ヒサカキ",19.3,19.79203372,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"31","31","8.8","4.5","ネジキ",26.4,27.17477645,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"32","31","8.7","4.1","ネジキ",17.7,18.53539666,"31と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"33","33","8.6","6.6","ヤブツバキ",16.7,18.84955592,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"34","34","8.5","6.6","ネジキ",23,24.81858196,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"35","34","8.4","6.7","ネジキ",16.6,17.27875959,"34と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"36","34","8.5","7.4","ネジキ",19.6,20.73451151,"34と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"37","37","9","7.2","ネジキ",15.1,16.3362818,NA,NA,"20070809",20140424,NA,0,0,-1,1,0,0
"0",0,"38","38","9.5","9.2","アカマツ",48.3,56.86282703,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"39","39","8.3","10","イヌガシ",14.6,15.07964474,NA,NA,"20070809",20140424,NA,0,0,-1,-1,0,0
"0",0,"40","40","8.2","9.7","ネジキ",14.5,15.07964474,NA,NA,"20070809",20140424,NA,0,0,-1,-1,0,0
"0",0,"41","41","7.9","9.8","ネジキ",14.6,15.70796327,NA,NA,"20070809",20140424,NA,0,0,-1,1,0,0
"0",0,"42","42","7.8","7.6","クロキ",61.9,73.51326809,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"43","42","7.8","7.6","クロキ",42,45.23893421,"42と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"44","44","7.9","6.2","ヤブツバキ",14.6,14.76548547,NA,NA,"20070809",20140424,NA,0,0,-1,-1,0,0
"0",0,"45","42","7.2","7.6","クロキ",28.4,31.7300858,"42と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"46","46","7.3","9.2","ヤブツバキ",17.2,17.90707813,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"47","48","0.7","9.3","ネジキ",17.9,19.16371519,"48と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"48","48","0.5","9.4","ネジキ",20.9,22.61946711,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"49","48","0.2","9.5","ネジキ",17.5,19.16371519,"48と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"50","48","0.5","9.7","ネジキ",20,21.99114858,"48と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"51","48","0.6","10","ネジキ",19.8,21.67698931,"48と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"52","52","0.9","8.8","ヤブツバキ",20.8,24.5044227,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"53","53","6.9","6.8","ヒサカキ",19.9,21.99114858,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"1",1,"3393",NA,NA,NA,"ネジキ",NA,20.73451151,NA,NA,NA,20140424,NA,0,0,-1,1,0,0
"1",1,"3394",NA,NA,NA,"ヒサカキ",NA,13.50884841,NA,NA,NA,20140424,NA,0,0,-1,-1,0,0
"1",1,"3395",NA,NA,NA,"イヌガシ",NA,14.76548547,NA,NA,NA,20140424,NA,0,0,-1,-1,0,0
"1",1,"3396",NA,NA,NA,"アセビ",NA,15.393804,NA,NA,NA,20140424,NA,0,0,-1,-1,0,0
"1",1,"3397",NA,NA,NA,"イヌガシ",NA,15.07964474,NA,NA,NA,20140424,NA,0,0,-1,-1,0,0
"1",1,"3399",NA,NA,NA,"ウリハダカエデ",NA,25.13274123,NA,NA,NA,20140424,NA,0,0,-1,1,0,0
"1",1,"4001",NA,NA,NA,"ネジキ",NA,14.76548547,NA,NA,NA,20140424,NA,0,0,-1,-1,0,0
"10",0,"55","55","1.9","5.6","ヒサカキ",16,17.90707813,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"10",0,"56","56","3.7","10","ヒサカキ",19.3,22.30530784,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"10",0,"57","57","4.4","9.1","シリブカガシ",40.4,47.75220833,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"10",0,"58","61","4.5","8.9","ネジキ",19.7,19.79203372,"61と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"10",0,"59","61","5.1","9.6","ネジキ",14.5,15.393804,"61と同株",NA,"20070809",20140424,NA,0,0,-1,-1,0,0
"10",0,"60","61","4.9","9.6","ネジキ",14.9,16.17920217,"61と同株",NA,"20070809",20140424,NA,0,0,-1,1,0,0
"10",0,"61","61","4.5","9.8","ネジキ",25.5,29.21681168,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"10",0,"62","61","4.5","10","ネジキ",15.9,16.02212253,"61と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"10",0,"4002","54","4","4","ネジキ",17,20.42035225,NA,NA,"20070809",20140424,"54",0,0,0,0,0,0
"20",0,"63","64","1.2","6.2","ソヨゴ",19.6,22.93362637,"64と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"64","64","1.2","6.5","ソヨゴ",19.8,22.61946711,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"65","65","7.1","9.7","ミミズバイ",72,74.14158662,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"66","65","7.2","9.5","ミミズバイ",61,61.57521601,"65と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"67","68","6.9","8.2","ミミズバイ",67,70.99999397,"68と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"68","68","6.9","8.5","ミミズバイ",71,74.14158662,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"69","68","7.1","8.5","ミミズバイ",34,34.55751919,"68と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"70","71","6.7","6.7","ネジキ",19.6,NA,"71と同株","枯死","20070809",20140424,NA,0,1,0,0,0,0
"20",0,"71","71","6.7","6.5","ネジキ",19.7,NA,NA,"枯死","20070809",20140424,NA,0,1,0,0,0,0
"20",0,"72","72","6.7","4.9","イヌガシ",30.1,31.7300858,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"73","73","8","0","ヤブニッケイ",53,52.93583621,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"74","75","8.9","0.5","ミミズバイ",45,45.55309348,"75と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"75","75","9","0.5","ミミズバイ",77,77.91149781,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"20",0,"76","76","9.8","0.5","ヤマウルシ",62.5,65.03096793,NA,NA,"20070809",20140515,NA,0,0,0,0,0,0
"20",0,"77","77","10","8.2","シキミ",15.5,15.70796327,NA,NA,"20070809",20140515,NA,0,0,-1,1,0,0
"3",1,"3400",NA,NA,NA,"イヌガシ",NA,14.13716694,NA,NA,NA,20140424,NA,0,0,-1,-1,0,0
"30",0,"78","79","1.1","3.3","シロダモ",17,17.27875959,"79と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"79","79","1","3.3","シロダモ",24.5,24.66150233,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"80","80","5.4","2.2","ミミズバイ",52.5,52.15043805,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"81","81","6.2","1.8","ミミズバイ",79,78.22565707,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
