#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tsushima-Mt. Tatera　(TT-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,対馬龍良山,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TT-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,20080715,シイノキ＞スダジイへ,,,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,,,
#,,"セル(50,90)内でW150重複-> -1 -2をつけた",,,,,,,,,,,,,,,,
#,20130108,データ成形（佐伯）,,,,,,,,,,,,,,,,
#,20180202,データ成形（日野）,,,,,,,,,,,,,,,,
#,,new_tag_naに値のある幹は、tag_noにその内容を移動させ、tag_noに入っていたタグ番号はold_tag_noに移動,,,,,,,,,,,,,,,,
#,,スダシイ→スダジイに修正,,,,,,,,,,,,,,,,
#,,new_tag_naにnWC368が二つあったので、この2個体についてはタグ番号の更新をせず、サイトに問い合わせして修正,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"tag_no","indv_no","mesh_xcord","mesh_ycord","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","gbh17","note07","note12","note17","s_date07","s_date12","s_date17","memo_20180201","old_tag_no","new_tag_na","dl07","dl12","dl17","rec07","rec12","rec17","error07","error12","error17"
"nWC327","nWC327",0,20,2.9,4.5,"ヤブニッケイ",15.21,15,NA,"低木データより移行, 番号付替必要","先枯れ","倒木枯死、萌芽生存","20071220","20121111","20171009","","","",0,0,1,-1,-1,-1,0,0,0
"nYA120","nYA120",0,20,2.5,6,"イスノキ",53,53.1,54.4,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA124","nYA124",0,30,2,6.2,"イスノキ",73.3,NA,NA,"","立枯(理由不明)","","20071122","20121111",NA,"","","",0,1,2,0,0,0,0,0,0
"dY_1073","dY_1073",0,30,1,1.2,"イヌガシ",13.79,14.2,15,"","","低木データより移行",NA,"20121113","20171009","","","",0,0,0,-1,-1,-1,0,0,0
"dY_1078","dY_1078",0,30,3.5,3.9,"イヌガシ",13.79,14.7,15.8,"","","低木データより移行",NA,"20121113","20171009","","","",0,0,0,-1,-1,1,0,0,0
"nWC573","nWA749",0,30,9.6,0.5,"イスノキ",111.3,115.3,118.3,"","","","20071122","20121111","20171009","","nWA749","nWC573",0,0,0,0,0,0,0,0,0
"nWA750","nWA750",0,30,7.8,1.7,"イスノキ",92.5,92.9,94.7,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA123","nYA123",0,30,3.9,5.9,"クロキ",16.8,17.4,18.9,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA301","nYA301",0,30,8.6,3.3,"イスノキ",146.5,149.2,152.5,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA307","nYA307",0,30,6.2,9,"イスノキ",162.7,164.3,167.1,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"dY_1088","dY_1088",0,40,0.4,0.1,"イヌガシ",13.89,14.48,NA,"","","低木データより移行、消失不明",NA,"20121113","20171009","","","",0,0,1,-1,-1,-1,0,0,0
"nYA126","nYA126",0,40,2,2.7,"イスノキ",61.4,61.4,61.5,"コブ下測定","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA127","nYA127",0,40,2,3.9,"サカキ",55.3,56,56.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA128","nYA128",0,40,1,4.9,"イスノキ",163.2,165.1,167.8,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
