#/log,DATACREATED,データ作成日,20170320,,,,,,,,,,,,
#/doc,DATACREATER,データ作成者,石田健,,,,,,,,,,,,
#,DATATITLE,データ名,TemporalChangeinTreeGirthatBreastHeightatAmami(AM-EB1).,,,,,,,,,,,,
#,SITENAME,サイト名,奄美,,,,,,,,,,,,
#,PLOTNAME,調査区名,-,,,,,,,,,,,,
#,PLOTCODE,調査区コード,AM-EB1,,,,,,,,,,,,
#,PLOTSIZE,面積,1ha,,,,,,,,,,,,
#,PRAMETERDEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,
#note,,noteの行数が多いため別シート(note)に移動,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,"0","A006","A005",4.2,3,"スダジイ",84.3,85.1,85.3,"株","生きてる","生きてる",NA,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A022","A022",8.2,3.8,"スダジイ",140.8,141.5,140.6,NA,NA,"幹部分割",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A040","A040",8.7,6.1,"タイミンタチバナ",17.5,20.4,19.6,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A038","A038",6.1,6.9,"タイミンタチバナ",20.2,20.4,20.4,NA,NA,"墨位置訂正",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A042","A042",9.2,7.9,"タイミンタチバナ",20.1,21,21.5,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A032","A032",2.4,7.2,"タイミンタチバナ",30,31,31.4,NA,NA,"ツル外し",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A011","A011",0.8,4.2,"トキワガキ",29.9,30.7,31.2,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A021","A021",9.2,2.8,"ヒサカキ",28.2,29.6,30.3,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A012","A012",1,4.9,"ヒメユズリハ",20.2,23.3,27.6,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A017","A017",6,3,"ヒメユズリハ",20,25.1,29.3,NA,NA,"小さい瘤直上",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A010","A010",0.8,3.2,"ヒメユズリハ",32.7,39.7,46,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","D042","D042",4.4,7.1,"ヒメユズリハ",NA,19.5,NA,"",NA,"",NA,"20100926",20150919,0,0,0,-1,1,0,0,0,1
0,"0","A045","A045",8.2,8.8,"マメヒサカキ",22.3,24.5,25.8,"藤本・高確認(2005.11.4)",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A001","A001",1,1.5,"モッコク",21.8,22.5,22.3,"6.9",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A029","A029",1.9,3.1,"モッコク",22.1,23.1,24.4,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A043","A043",9.7,7.8,"ヤブツバキ",15.2,15.1,14.3,NA,NA,"小こぶ直上",20050925,"20100926",20150919,0,0,0,-1,-1,-1,0,0,0
0,"0","A037","A037",4.5,7.8,"リュウキュウモチ",26.5,27.6,28.3,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A041","A041",8.8,6,"リュウキュウモチ",31,33.4,34.2,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A036","A036",2.8,9.2,"リュウキュウモチ",34.6,35,35.4,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A044","A044",9.4,8.7,"リュウキュウモチ",83.8,84.1,84.9,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A024","A024",9,4.3,"リュウキュウモチ",53.9,53.5,NA,"倒木",NA,"倒木",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,1
0,"10","A071","A071",4.2,9.9,"アデク",17.1,17.4,17.2,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A075","A075",7.6,7.6,"アデク",20.1,21.3,23.2,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A065","A065",1.4,5.5,"イスノキ",18.4,19.5,19.7,NA,NA,"墨位置訂正",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A057","A057",5.7,5.2,"イスノキ",41,41.4,41.2,NA,NA,"墨位置訂正",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A076","A076",9.3,9.8,"イスノキ",72.3,73.6,74.9,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A066","A066",1.1,5.3,"イヌマキ",18.8,20.8,21.8,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A072","A072",3.1,5.9,"イヌマキ",21.4,22,22.6,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A058","A058",5.2,2.3,"ウラジロガシ",69.9,71.6,72.4,"藤本・高確認(2005.11.4)",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A069","A069",0.1,8.9,"サクラツツジ",15.2,15,14.9,NA,NA,"",20050925,"20100926",20150919,0,0,0,-1,-1,-1,0,0,0
0,"10","A061","A061",9.5,0.8,"シキミ",30.3,32.3,32.8,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A055","A055",0.8,3.2,"シマミサオノキ",15.4,16.4,17.4,NA,NA,"",20050925,"20100926",20150919,0,0,0,-1,1,0,0,0,0
0,"10","A060","A059",7.2,1.6,"スダジイ",18.3,22.7,25.8,NA,NA,"根から出ている",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A051","A051",3.7,2.5,"スダジイ",66.9,67.7,67.4,NA,NA,"株?、半枯",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A059","A059",7.2,1.6,"スダジイ",130.6,133.6,135.4,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"10","A074","A074",6.9,5.2,"タイミンタチバナ",14.9,15,15.9,"",NA,"",NA,"20100926",20150919,0,0,0,-1,-1,1,0,0,0
