#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Handa Yama (HD-DB1）.,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,半田山（岡山）,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,HD-DB1,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,プロット形状（0.7×1.2）＋（0.4×0.4）ha,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,
#,,林縁を避けたためプロットの形状が特殊である。,,,,,,,,,,,,,,,,,,,
#,20120221,2007年分も含めて新たにデータ成形（鈴木智之）,,,,,,,,,,,,,,,,,,,
#,,A16 gbh11をnd,,,,,,,,,,,,,,,,,,,
#,,D657 gbh11をvi,,,,,,,,,,,,,,,,,,,
#,,C56は成長が大きいが先駆種なのでありうる,,,,,,,,,,,,,,,,,,,
#,,A211 B104 B96 B68 B69 D675 D693 D518は大きい新規だが、先駆種なのでありうる,,,,,,,,,,,,,,,,,,,
#,,D658はデータの重複の可能性あり（片方の行頭に#をつけた）->重複だった（20120305削除）,,,,,,,,,,,,,,,,,,,
#,,"A86、D641-D653、D825タグの重複→片方に""_2""をつけた->A86、D825はA76、D852の間違いだった（20120305修正）",,,,,,,,,,,,,,,,,,,
#,20121016,tag_no B272のstem_idとindv_idおよびtan_no07（2007_P295）が重複していたため、ハイフンをつけた番号（2007_P295-2など）に修正（佐伯）．,,,,,,,,,,,,,,,,,,,
#,20171203,データチェック（日野）,,,,,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,,,,,
#,,生存だが測定不能の個体のｇｂｈの欄が「na」→「nd」を入力,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,2016,2016,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh11","gbh16","note07","note11","note16","s_date07","s_date11","s_date16","stem_id","indv_id","tag_no07","新tag_na","新indv_na","修正ありコメント","dl07","dl11","dl16","rec07","rec11","rec16","error07","error11","error16"
0,10,"A131","A131",8.3,7,"ヒサカキ",19.8,21,21.5,"つるなし",NA,NA,"20071227","20111128","20161107","2007_PE127","2007_PE127","PE127","aS_1346","aS_1346","",0,0,0,0,0,0,0,0,0
0,10,"A134","A134",8.4,5.5,"コナラ",71.5,75,77.9,"つるなし",NA,NA,"20071227","20111128","20161107","2007_PE125","2007_PE125","PE125","aS_1350","aS_1350","",0,0,0,0,0,0,0,0,0
0,10,"A136","A136",8.8,3.2,"ヒサカキ",NA,16,16.6,NA,NA,NA,NA,"20111128","20161107","2011_A136","2011_A136",NA,"aS_1351","aS_1351","",0,0,0,-1,1,0,0,0,0
0,10,"A130","A130",8.9,8.4,"ヒサカキ",20.3,21.2,21.5,NA,NA,NA,"20071227","20111128","20161107","2007_PE128","2007_PE128","PE128","aS_1345","aS_1345","",0,0,0,0,0,0,0,0,0
0,10,"A133","A133",9.5,7.7,"ヤブニッケイ",NA,15.9,22.4,NA,NA,NA,NA,"20111128","20161107","2011_A133","2011_A133",NA,"aS_1348","aS_1348","",0,0,0,-1,1,0,0,0,0
0,10,"A135","A135",9.7,2.1,"カクレミノ",18.8,20.3,23.1,NA,NA,NA,"20071227","20111128","20161107","2007_PE124","2007_PE124","PE124","aS_1353","aS_1353","",0,0,0,0,0,0,0,0,0
0,20,"A119","A119",1,7.3,"ヒサカキ",16.4,17.1,18.1,NA,NA,NA,"20071227","20111128","20161107","2007_PE137","2007_PE137","PE137","aS_1334","aS_1334","",0,0,0,0,0,0,0,0,0
0,20,"A123","A123",1.3,3.9,"アラカシ",NA,18.1,23.4,NA,NA,NA,NA,"20111128","20161107","2011_A123","2011_A123",NA,"aS_1343","aS_1343","",0,0,0,-1,1,0,0,0,0
0,20,"A118","A118",1.5,9.7,"ヤマザクラ",48.3,53.6,57.4,NA,NA,NA,"20071227","20111128","20161107","2007_PE138","2007_PE138","PE138","aS_1333","aS_1333","",0,0,0,0,0,0,0,0,0
0,20,"A124","A124",2,1.9,"ヤマザクラ",47.3,54.2,58.4,NA,NA,NA,"20071227","20111128","20161107","2007_PE134","2007_PE134","PE134","aS_1342","aS_1342","",0,0,0,0,0,0,0,0,0
0,20,"A126","A125",6.8,1.4,"ヒサカキ",16.2,17.6,17.6,"同株",NA,NA,"20071227","20111128","20161107","2007_PE132","2007_PE133","PE132","aS_1339","aS_1338","",0,0,0,0,0,0,0,0,0
0,20,"A127","A125",6.8,1.4,"ヒサカキ",18.1,18.8,19.3,"同株",NA,NA,"20071227","20111128","20161107","2007_PE131","2007_PE133","PE131","aS_1340","aS_1338","",0,0,0,0,0,0,0,0,0
0,20,"A125","A125",6.8,1.4,"ヒサカキ",18.3,19.2,20.7,"同株、つる込",NA,NA,"20071227","20111128","20161107","2007_PE133","2007_PE133","PE133","aS_1338","aS_1338","",0,0,0,0,0,0,0,0,0
0,20,"A121","A121",7.1,6.4,"カクレミノ",NA,18.6,26.1,NA,NA,NA,NA,"20111128","20161107","2011_A121","2011_A121",NA,"aS_1335","aS_1335","",0,0,0,-1,1,0,0,0,0
0,20,"A122","A122",8.1,5,"ヒサカキ",15.8,16.8,17.2,NA,NA,NA,"20071227","20111128","20161107","2007_PE135","2007_PE135","PE135","aS_1337","aS_1337","",0,0,0,0,0,0,0,0,0
0,20,"A120","A120",8.5,8,"アズキナシ",NA,17.1,20.1,NA,NA,NA,NA,"20111128","20161107","2011_A120","2011_A120",NA,"aS_1336","aS_1336","",0,0,0,-1,1,0,0,0,0
0,20,"A128","A128",8.6,0.2,"コナラ",155.3,161.1,165.3,"つるなし",NA,NA,"20071227","20111128","20161107","2007_PE130","2007_PE130","PE130","aS_1341","aS_1341","",0,0,0,0,0,0,0,0,0
0,20,"PE136","PE136",9.6,8.7,"コナラ",89,NA,NA,"つる込",NA,NA,"20071227","20111128",NA,"2007_PE136","2007_PE136","PE136",NA,NA,"",0,1,2,0,0,0,0,0,0
0,30,"A113","A113",0.1,3.3,"ヒサカキ",16.1,16.8,17.4,NA,NA,NA,"20071227","20111128","20161107","2007_PE141","2007_PE141","PE141","aS_1332","aS_1332","",0,0,0,0,0,0,0,0,0
0,30,"A112","A112",0.5,4,"ヒサカキ",17.6,18.3,18.7,NA,NA,NA,"20071227","20111128","20161107","2007_PE142","2007_PE142","PE142","aS_1331","aS_1331","",0,0,0,0,0,0,0,0,0
0,30,"A111","A111",1.5,9.4,"ヒサカキ",17.2,17.4,18,NA,NA,NA,"20071227","20111128","20161107","2007_PE149","2007_PE149","PE149","aS_1327","aS_1327","",0,0,0,0,0,0,0,0,0
0,30,"A110","A110",2.3,9.4,"ヤマザクラ",47.4,49.7,51.1,NA,NA,NA,"20071227","20111128","20161107","2007_PE148","2007_PE148","PE148","aS_1325","aS_1325","",0,0,0,0,0,0,0,0,0
0,30,"A117","A117",3.4,1.7,"ネズミモチ",27.8,29.4,31,"1.2mで測定、つる込",NA,"つるなし","20071227","20111128","20161107","2007_PE139","2007_PE139","PE139","aS_1330","aS_1330","",0,0,0,0,0,0,0,0,0
0,30,"A116","A116",5,1.2,"ヤブニッケイ",30,32.8,37,NA,NA,NA,"20071227","20111128","20161107","2007_PE140","2007_PE140","PE140","aS_1329","aS_1329","",0,0,0,0,0,0,0,0,0
